    2/10204 (0.02%)
    0/ 5953 (0%)
    0/ 4252 (0%)
    0/ 1701 (0%)
    0/ 8505 (0%)
    0/ 7657 (0%)
    0/ 5103 (0%)
    0/ 5953 (0%)
    0/ 7656 (0%)
    0/ 6803 (0%)
    0/ 6803 (0%)
    0/ 4252 (0%)
    0/ 8504 (0%)
    0/ 5103 (0%)
    0/ 4252 (0%)
    0/ 5953 (0%)
    0/ 6803 (0%)
    0/ 5103 (0%)
    0/ 4252 (0%)
    0/10205 (0%)
    0/ 5953 (0%)
    0/ 9355 (0%)
    0/ 5953 (0%)
    0/ 7657 (0%)
    0/ 7658 (0%)
    0/ 6803 (0%)
    0/ 6803 (0%)
    0/ 8504 (0%)
    0/ 6803 (0%)
    0/ 5953 (0%)
    0/ 8504 (0%)
    0/ 4253 (0%)
    0/ 5954 (0%)
    1/ 5102 (0.02%)
    0/ 6804 (0%)
    0/ 5953 (0%)
    0/10205 (0%)
    0/ 5953 (0%)
    0/ 4252 (0%)
    0/ 5954 (0%)
    0/ 9355 (0%)
    0/ 4252 (0%)
    0/ 7657 (0%)
    1/ 6803 (0.015%)
    0/ 6803 (0%)
    0/ 5953 (0%)
    0/ 5103 (0%)
    0/ 4252 (0%)
    0/ 6803 (0%)
    0/ 6803 (0%)
    0/ 7658 (0%)
    0/ 4252 (0%)
    0/ 6803 (0%)
    0/ 6803 (0%)
    0/ 5953 (0%)
    0/ 6803 (0%)
    0/ 9355 (0%)
    0/ 8504 (0%)
    0/ 6804 (0%)
    0/ 6803 (0%)
    0/ 4252 (0%)
    0/ 9355 (0%)
    0/ 5953 (0%)
    0/ 3402 (0%)
    0/ 6803 (0%)
    0/ 5103 (0%)
    0/ 5103 (0%)
    0/ 5103 (0%)
    0/ 6803 (0%)
    0/ 5103 (0%)
    0/ 6803 (0%)
    0/ 2552 (0%)
    0/ 4252 (0%)
    0/ 5953 (0%)
    0/ 7657 (0%)
    0/ 6803 (0%)
    0/ 4252 (0%)
    0/ 4252 (0%)
    0/ 5954 (0%)
    0/ 6803 (0%)
    0/ 4252 (0%)
    0/ 8504 (0%)
    0/ 5954 (0%)
    0/ 9355 (0%)
    0/ 8504 (0%)
    0/ 5953 (0%)
    0/ 8504 (0%)
    0/ 5953 (0%)
    0/ 9356 (0%)
    0/ 5953 (0%)
    0/ 5103 (0%)
    0/ 4252 (0%)
    0/ 5953 (0%)
    0/ 6804 (0%)
    0/ 6803 (0%)
    0/ 6803 (0%)
    0/ 5953 (0%)
    0/ 7657 (0%)
    0/ 6803 (0%)
    0/ 6803 (0%)
    0/ 7657 (0%)
    0/ 4252 (0%)
    0/ 5103 (0%)
    0/ 5103 (0%)
    0/ 7657 (0%)
    0/ 5953 (0%)
    0/ 5953 (0%)
    0/ 5953 (0%)
    0/ 6803 (0%)
    0/ 8505 (0%)
    0/ 5954 (0%)
    0/ 7658 (0%)
    0/ 6803 (0%)
    0/ 6803 (0%)
    0/ 6803 (0%)
    0/ 5103 (0%)
    0/ 6803 (0%)
    0/ 7657 (0%)
    0/ 5103 (0%)
    0/ 4252 (0%)
    0/ 6804 (0%)
    0/ 6803 (0%)
    0/ 8504 (0%)
    0/ 7658 (0%)
    0/ 4252 (0%)
    0/ 4252 (0%)
    0/ 5953 (0%)
    0/ 5103 (0%)
    0/ 3402 (0%)
    0/ 7657 (0%)
    0/ 2552 (0%)
    0/ 8504 (0%)
    0/ 3403 (0%)
    0/ 5953 (0%)
    0/ 6803 (0%)
    0/ 3402 (0%)
    0/ 7657 (0%)
    0/ 5953 (0%)
    0/ 4252 (0%)
    0/ 6803 (0%)
    0/ 7657 (0%)
    0/ 5103 (0%)
    0/ 7657 (0%)
    0/ 8504 (0%)
    0/ 6803 (0%)
    0/ 5953 (0%)
    0/ 8504 (0%)
    0/ 6803 (0%)
    0/ 5103 (0%)
    0/ 7657 (0%)
    0/ 5954 (0%)
    0/ 6803 (0%)
    1/ 5103 (0.02%)
    0/ 6804 (0%)
    0/ 5104 (0%)
    0/ 7657 (0%)
    1/11905 (0.0084%)
    0/ 8504 (0%)
    0/ 7657 (0%)
    0/ 5953 (0%)
    0/ 7657 (0%)
    0/ 4252 (0%)
    0/ 6803 (0%)
    0/ 4252 (0%)
    0/ 5953 (0%)
    0/ 4252 (0%)
    0/ 8504 (0%)
    0/ 7657 (0%)
    0/ 5103 (0%)
    0/ 7657 (0%)
    1/ 4253 (0.024%)
    0/ 4252 (0%)
    0/ 8505 (0%)
    0/ 8504 (0%)
    0/ 5103 (0%)
    0/ 9355 (0%)
    1/ 6804 (0.015%)
    0/ 9355 (0%)
    0/ 6803 (0%)
    0/ 7657 (0%)
    0/ 5953 (0%)
    0/ 3402 (0%)
    0/ 9356 (0%)
    0/ 6803 (0%)
    0/ 5103 (0%)
    0/ 6803 (0%)
    0/ 7657 (0%)
    0/ 3403 (0%)
    0/ 6803 (0%)
    0/ 8504 (0%)
    0/ 5103 (0%)
    0/ 6803 (0%)
    0/ 7657 (0%)
    0/ 5104 (0%)
    0/ 8505 (0%)
    0/ 6803 (0%)
    0/ 7657 (0%)
    0/ 8504 (0%)
    0/ 8505 (0%)
    0/ 6803 (0%)
    0/ 6804 (0%)
    0/ 5953 (0%)
    0/ 5954 (0%)
    0/ 7657 (0%)
    0/ 6803 (0%)
    0/ 2552 (0%)
    0/ 8504 (0%)
    0/ 5954 (0%)
    0/ 5103 (0%)
    0/ 5103 (0%)
    0/ 5952 (0%)
    0/ 6803 (0%)
    0/ 5953 (0%)
    0/ 5953 (0%)
    0/ 5103 (0%)
    0/ 5953 (0%)
    0/ 5953 (0%)
    0/ 5104 (0%)
    0/ 7657 (0%)
    0/ 4253 (0%)
    0/ 4252 (0%)
    0/ 7657 (0%)
    0/ 5103 (0%)
    0/ 5104 (0%)
    0/ 9355 (0%)
    0/ 7657 (0%)
    0/ 4252 (0%)
    0/ 8504 (0%)
    1/ 5952 (0.017%)
    0/ 5103 (0%)
    0/ 5104 (0%)
    0/ 8505 (0%)
    0/ 4252 (0%)
    0/ 7657 (0%)
    0/ 4253 (0%)
    0/ 7657 (0%)
    0/10206 (0%)
    0/ 7657 (0%)
    0/ 6803 (0%)
    0/ 4252 (0%)
    0/ 5953 (0%)
    0/ 5953 (0%)
    0/ 6803 (0%)
    0/ 5103 (0%)
    0/ 5103 (0%)
    0/ 6804 (0%)
    0/ 5103 (0%)
    0/ 5953 (0%)
    0/ 8504 (0%)
    1/ 8504 (0.012%)
    0/ 5954 (0%)
    0/ 5103 (0%)
    0/ 5954 (0%)
    0/ 5953 (0%)
    0/ 6803 (0%)
    0/ 7657 (0%)
    0/ 3402 (0%)
    0/ 6803 (0%)
    0/ 5103 (0%)
    0/ 4252 (0%)
    0/ 5953 (0%)
    0/ 9355 (0%)
    0/ 5953 (0%)
    0/ 6803 (0%)
    0/ 5953 (0%)
    0/ 9355 (0%)
    0/ 6803 (0%)
    0/11062 (0%)
    0/ 6803 (0%)
    0/ 6803 (0%)
    0/ 3402 (0%)
    0/ 5953 (0%)
    0/ 6803 (0%)
    0/ 5103 (0%)
    0/ 7657 (0%)
    0/ 2553 (0%)
    0/ 4252 (0%)
    0/ 3403 (0%)
    0/10205 (0%)
    0/ 7658 (0%)
    0/ 5102 (0%)
    0/ 8504 (0%)
    0/ 7657 (0%)
    0/ 6803 (0%)
    0/ 7657 (0%)
    0/ 9355 (0%)
    0/ 8504 (0%)
    0/ 5103 (0%)
    0/ 6804 (0%)
    0/ 5953 (0%)
    0/ 7658 (0%)
    0/ 5103 (0%)
    0/ 8504 (0%)
    0/ 6803 (0%)
    0/ 5103 (0%)
    0/ 4252 (0%)
    0/ 9355 (0%)
    0/ 5103 (0%)
    0/ 6803 (0%)
    0/ 4252 (0%)
