    0/10205 (0%)
    0/ 8504 (0%)
    0/ 9355 (0%)
    0/ 7657 (0%)
    0/ 7657 (0%)
    0/ 8504 (0%)
    0/ 8504 (0%)
    0/ 7657 (0%)
    0/ 7658 (0%)
    0/ 8504 (0%)
    0/ 7657 (0%)
    0/ 7657 (0%)
    0/ 7657 (0%)
    0/10205 (0%)
    0/ 8504 (0%)
    0/ 6803 (0%)
    0/ 9355 (0%)
    0/ 9355 (0%)
    0/ 8504 (0%)
    1/ 8504 (0.012%)
    0/ 9355 (0%)
    0/ 9355 (0%)
    0/ 7657 (0%)
    0/ 9355 (0%)
    0/10204 (0%)
    0/ 7657 (0%)
    0/ 8504 (0%)
    0/ 6803 (0%)
    0/ 7657 (0%)
    0/ 8505 (0%)
    0/ 6803 (0%)
    0/ 8504 (0%)
    0/ 7657 (0%)
    0/ 6803 (0%)
    0/ 8504 (0%)
    0/ 8504 (0%)
    0/ 7657 (0%)
    0/ 8504 (0%)
    0/ 8504 (0%)
    0/ 8504 (0%)
    0/ 7657 (0%)
    0/ 5953 (0%)
    0/ 7657 (0%)
    0/ 8504 (0%)
    0/ 7657 (0%)
    0/ 6803 (0%)
    0/ 7657 (0%)
    0/ 8504 (0%)
    0/ 7657 (0%)
    1/ 9355 (0.011%)
    0/ 7657 (0%)
    0/ 6803 (0%)
    0/ 9355 (0%)
    0/ 7657 (0%)
    0/ 7658 (0%)
    0/ 7657 (0%)
    0/ 8504 (0%)
    0/ 7657 (0%)
    0/ 7657 (0%)
    0/10205 (0%)
    0/ 8504 (0%)
    0/ 7657 (0%)
    0/ 8504 (0%)
    0/ 7658 (0%)
    0/ 6803 (0%)
    0/ 7657 (0%)
    0/ 7657 (0%)
    0/ 8505 (0%)
    0/10205 (0%)
    0/ 8504 (0%)
    0/ 8504 (0%)
    0/ 6803 (0%)
    0/ 8504 (0%)
    0/ 9356 (0%)
    0/ 8504 (0%)
    0/ 8505 (0%)
    0/ 8504 (0%)
    0/ 7658 (0%)
    0/10205 (0%)
    0/ 6803 (0%)
    0/ 8505 (0%)
    0/10205 (0%)
    0/ 7657 (0%)
    0/ 7657 (0%)
    0/ 8505 (0%)
    0/10206 (0%)
    0/ 7657 (0%)
    0/ 8504 (0%)
    0/ 8504 (0%)
    0/ 8504 (0%)
    0/ 8504 (0%)
    0/ 7658 (0%)
    0/ 9355 (0%)
    0/ 7657 (0%)
    0/ 7657 (0%)
    0/ 7657 (0%)
    0/ 8504 (0%)
    0/ 7657 (0%)
    1/ 6803 (0.015%)
    0/ 8504 (0%)
    0/ 8504 (0%)
    0/ 7657 (0%)
    0/ 5953 (0%)
    0/ 7657 (0%)
    0/ 6803 (0%)
    0/ 8504 (0%)
    0/ 7657 (0%)
    0/ 8504 (0%)
    0/ 8504 (0%)
    0/ 8504 (0%)
    0/ 6803 (0%)
    0/ 7657 (0%)
    0/ 9355 (0%)
    0/ 8504 (0%)
    0/ 8504 (0%)
    0/ 8504 (0%)
    0/ 8505 (0%)
    0/ 8504 (0%)
    0/ 7658 (0%)
    0/ 9355 (0%)
    0/ 8504 (0%)
    0/ 9355 (0%)
    0/ 8504 (0%)
    0/ 8504 (0%)
    0/ 6803 (0%)
    0/ 8504 (0%)
    0/ 8504 (0%)
    0/ 8504 (0%)
    0/ 5953 (0%)
    0/ 6803 (0%)
    0/ 7658 (0%)
    0/ 7658 (0%)
    0/ 8504 (0%)
    0/ 7657 (0%)
    0/ 9355 (0%)
    0/ 7657 (0%)
    0/ 7657 (0%)
    0/ 7657 (0%)
    0/ 6803 (0%)
    0/ 6803 (0%)
    0/ 6804 (0%)
    0/ 7657 (0%)
    0/ 8504 (0%)
    0/ 6803 (0%)
    0/ 7658 (0%)
    0/ 8504 (0%)
    0/ 8504 (0%)
    0/ 6803 (0%)
    0/ 7657 (0%)
    0/ 6804 (0%)
    0/ 8504 (0%)
    0/ 7657 (0%)
    0/ 6803 (0%)
    0/ 8504 (0%)
    0/ 8504 (0%)
    0/10205 (0%)
    0/ 5953 (0%)
    0/ 7657 (0%)
    0/ 6803 (0%)
    0/ 8504 (0%)
    0/ 8504 (0%)
    0/ 8504 (0%)
    1/ 6803 (0.015%)
    0/ 9355 (0%)
    3/ 9355 (0.032%)
    0/10205 (0%)
    0/ 8504 (0%)
    1/ 7657 (0.013%)
    0/ 8502 (0%)
    0/ 8504 (0%)
    0/ 8504 (0%)
    0/ 7657 (0%)
    0/ 8504 (0%)
    1/ 8505 (0.012%)
    0/ 7658 (0%)
    0/ 9355 (0%)
    0/ 8504 (0%)
    0/ 8504 (0%)
    0/ 8504 (0%)
    0/ 8504 (0%)
    0/ 7657 (0%)
    0/ 6803 (0%)
    0/ 8504 (0%)
    0/ 7658 (0%)
    0/ 8504 (0%)
    0/ 7657 (0%)
    0/ 9355 (0%)
    0/ 8503 (0%)
    0/10205 (0%)
    1/ 7657 (0.013%)
    0/ 7657 (0%)
    0/ 7657 (0%)
    0/ 8504 (0%)
    0/ 9355 (0%)
    0/10205 (0%)
    0/ 7657 (0%)
    0/ 7657 (0%)
    0/ 8504 (0%)
    0/ 9355 (0%)
    0/ 9355 (0%)
    0/ 8504 (0%)
    0/ 8504 (0%)
    0/ 8504 (0%)
    0/ 7657 (0%)
    0/ 8504 (0%)
    0/ 7657 (0%)
    0/10204 (0%)
    0/ 8504 (0%)
    0/ 8504 (0%)
    0/ 8504 (0%)
