5.46 Mbits/sec   0.014 ms    0/ 4641 (0%)
1.53 Mbits/sec   0.041 ms    0/ 1304 (0%)
3.45 Mbits/sec   0.049 ms    0/ 2932 (0%)
1.95 Mbits/sec   0.028 ms    0/ 1657 (0%)
4.38 Mbits/sec   0.048 ms    0/ 3729 (0%)
4.88 Mbits/sec   0.035 ms    0/ 4151 (0%)
3.45 Mbits/sec   0.100 ms    0/ 2934 (0%)
8.42 Mbits/sec   0.060 ms    0/ 7163 (0%)
5.12 Mbits/sec   0.182 ms    0/ 4358 (0%)
10.4 Mbits/sec   0.048 ms    0/ 8873 (0%)
2.50 Mbits/sec   0.251 ms    0/ 2126 (0%)
5.69 Mbits/sec   0.115 ms    0/ 4843 (0%)
7.48 Mbits/sec   0.035 ms    0/ 6360 (0%)
2.15 Mbits/sec   0.223 ms    0/ 1832 (0%)
5.33 Mbits/sec   0.100 ms    0/ 4537 (0%)
6.13 Mbits/sec   0.082 ms    0/ 5214 (0%)
3.84 Mbits/sec   0.042 ms    0/ 3268 (0%)
3.75 Mbits/sec   0.163 ms    0/ 3193 (0%)
5.24 Mbits/sec   0.032 ms    0/ 4459 (0%)
8.35 Mbits/sec   0.094 ms    0/ 7102 (0%)
3.93 Mbits/sec   0.181 ms    0/ 3339 (0%)
3.55 Mbits/sec   0.044 ms    0/ 3017 (0%)
2.53 Mbits/sec   0.091 ms    0/ 2150 (0%)
3.49 Mbits/sec   0.178 ms    0/ 2968 (0%)
2.71 Mbits/sec   0.132 ms    0/ 2302 (0%)
3.50 Mbits/sec   0.053 ms    0/ 2980 (0%)
7.18 Mbits/sec   0.034 ms    0/ 6105 (0%)
5.42 Mbits/sec   0.136 ms    0/ 4608 (0%)
6.00 Mbits/sec   0.481 ms    0/ 5103 (0%)
1.03 Mbits/sec   1.113 ms    0/  876 (0%)
5.52 Mbits/sec   0.340 ms    0/ 4697 (0%)
9.11 Mbits/sec   0.163 ms    0/ 7751 (0%)
3.00 Mbits/sec   0.051 ms    0/ 3851 (0%)
1.58 Mbits/sec   0.043 ms    0/ 4072 (0%)
1.14 Mbits/sec   0.051 ms    0/ 4398 (0%)
0.82 Mbits/sec   0.093 ms    0/ 4188 (0%)
0.55 Mbits/sec   0.033 ms    0/ 3505 (0%)
0.52 Mbits/sec   0.116 ms    0/ 4002 (0%)
0.51 Mbits/sec   0.071 ms    0/ 4619 (0%)
0.52 Mbits/sec   0.164 ms    0/ 5368 (0%)
0.25 Mbits/sec   0.198 ms    0/ 2847 (0%)
0.62 Mbits/sec   0.042 ms    0/ 7914 (0%)
0.50 Mbits/sec   0.038 ms    0/ 7016 (0%)
0.40 Mbits/sec   0.022 ms    0/ 6087 (0%)
0.32 Mbits/sec   0.018 ms    0/ 5297 (0%)
0.16 Mbits/sec   0.025 ms    0/ 2937 (0%)
0.10 Mbits/sec   0.037 ms    0/ 1963 (0%)
0.45 Mbits/sec   0.086 ms    0/ 9295 (0%)
0.39 Mbits/sec   0.024 ms    0/ 8506 (0%)
0.10 Mbits/sec   0.114 ms    0/ 2425 (0%)
0.17 Mbits/sec   0.025 ms    0/ 4230 (0%)
0.20 Mbits/sec   0.029 ms    0/ 5105 (0%)
0.28 Mbits/sec   0.033 ms    0/ 7531 (0%)
0.19 Mbits/sec   0.056 ms    0/ 5447 (0%)
0.09 Mbits/sec   0.267 ms    0/ 2738 (0%)
0.14 Mbits/sec   0.018 ms    0/ 4287 (0%)
0.03 Mbits/sec   0.018 ms    0/ 1083 (0%)
0.09 Mbits/sec   0.018 ms    0/ 3086 (0%)
0.18 Mbits/sec   0.018 ms    0/ 6204 (0%)
0.15 Mbits/sec   0.020 ms    3/ 5322 (0.056%)
0.09 Mbits/sec   0.042 ms    0/ 3492 (0%)
0.18 Mbits/sec   0.018 ms    0/ 6822 (0%)
0.18 Mbits/sec   0.026 ms    0/ 7063 (0%)
0.10 Mbits/sec   0.023 ms    0/ 4289 (0%)
