5.00 Mbits/sec   0.123 ms    0/ 4253 (0%)
10.0 Mbits/sec   0.049 ms    0/ 8504 (0%)
18.0 Mbits/sec   0.131 ms    2/15314 (0.013%)
10.0 Mbits/sec   0.198 ms    1/ 8505 (0.012%)
11.0 Mbits/sec   0.088 ms    1/ 9355 (0.011%)
7.00 Mbits/sec   0.068 ms    0/ 5953 (0%)
14.0 Mbits/sec   0.013 ms    2/11905 (0.017%)
14.0 Mbits/sec   0.061 ms    1/11905 (0.0084%)
15.0 Mbits/sec   0.048 ms    0/12755 (0%)
16.0 Mbits/sec   0.040 ms    0/13606 (0%)
13.0 Mbits/sec   0.041 ms    0/11062 (0%)
9.01 Mbits/sec   0.033 ms    0/ 7657 (0%)
11.0 Mbits/sec   0.109 ms    1/ 9355 (0.011%)
15.0 Mbits/sec   0.029 ms    2/12755 (0.016%)
10.0 Mbits/sec   0.060 ms    0/ 8504 (0%)
14.0 Mbits/sec   0.046 ms    2/11905 (0.017%)
19.0 Mbits/sec   0.055 ms    0/16181 (0%)
15.0 Mbits/sec   0.028 ms    4/12755 (0.031%)
10.0 Mbits/sec   0.056 ms    1/ 8504 (0.012%)
13.0 Mbits/sec   0.051 ms    5/11062 (0.045%)
11.0 Mbits/sec   0.112 ms    1/ 9355 (0.011%)
12.0 Mbits/sec   0.075 ms    0/10204 (0%)
16.0 Mbits/sec   0.039 ms    3/13606 (0.022%)
11.0 Mbits/sec   0.152 ms    0/ 9356 (0%)
15.0 Mbits/sec   0.048 ms    0/12755 (0%)
8.00 Mbits/sec   0.106 ms    0/ 6803 (0%)
13.0 Mbits/sec   0.104 ms    1/11062 (0.009%)
9.01 Mbits/sec   0.118 ms    0/ 7657 (0%)
11.0 Mbits/sec   0.113 ms    1/ 9355 (0.011%)
13.0 Mbits/sec   0.086 ms    2/11062 (0.018%)
9.01 Mbits/sec   0.094 ms    1/ 7657 (0.013%)
17.0 Mbits/sec   0.043 ms    3/14472 (0.021%)
12.0 Mbits/sec   0.276 ms    1/10204 (0.0098%)
6.00 Mbits/sec   0.044 ms    0/ 5102 (0%)
14.0 Mbits/sec   0.051 ms    0/11905 (0%)
16.0 Mbits/sec   0.119 ms    1/13606 (0.0073%)
13.0 Mbits/sec   0.043 ms    4/11062 (0.036%)
8.00 Mbits/sec   0.107 ms    0/ 6803 (0%)
13.0 Mbits/sec   0.022 ms    0/11062 (0%)
9.01 Mbits/sec   0.034 ms    0/ 7657 (0%)
13.0 Mbits/sec   0.020 ms    1/11062 (0.009%)
14.0 Mbits/sec   0.034 ms    1/11905 (0.0084%)
15.0 Mbits/sec   0.025 ms    1/12755 (0.0078%)
9.01 Mbits/sec   0.017 ms    0/ 7658 (0%)
15.0 Mbits/sec   0.046 ms    1/12750 (0.0078%)
8.00 Mbits/sec   0.027 ms    0/ 6803 (0%)
23.0 Mbits/sec   0.219 ms    3/19570 (0.015%)
11.0 Mbits/sec   0.031 ms    0/ 9355 (0%)
15.0 Mbits/sec   0.029 ms    2/12755 (0.016%)
8.00 Mbits/sec   0.028 ms    0/ 6803 (0%)
8.00 Mbits/sec   0.032 ms    1/ 6803 (0.015%)
2.00 Mbits/sec   0.019 ms    0/ 1702 (0%)
11.0 Mbits/sec   0.042 ms    1/ 9355 (0.011%)
18.0 Mbits/sec   0.016 ms    1/15314 (0.0065%)
6.00 Mbits/sec   0.048 ms    0/ 5103 (0%)
8.00 Mbits/sec   0.019 ms    0/ 6803 (0%)
12.0 Mbits/sec   0.117 ms    0/10205 (0%)
16.0 Mbits/sec   0.051 ms    0/13606 (0%)
13.0 Mbits/sec   0.017 ms    0/11063 (0%)
15.0 Mbits/sec   0.019 ms    1/12755 (0.0078%)
