21.0 Mbits/sec   0.138 ms    4/17857 (0.022%)
17.0 Mbits/sec   0.145 ms    3/14472 (0.021%)
15.0 Mbits/sec   0.127 ms    0/12755 (0%)
23.0 Mbits/sec   0.161 ms    3/19571 (0.015%)
19.0 Mbits/sec   0.043 ms    7/16182 (0.043%)
23.0 Mbits/sec   0.055 ms    6/19571 (0.031%)
13.0 Mbits/sec   0.053 ms    2/11062 (0.018%)
17.0 Mbits/sec   0.047 ms    1/14473 (0.0069%)
17.0 Mbits/sec   0.110 ms    0/14472 (0%)
22.0 Mbits/sec   0.112 ms    4/18727 (0.021%)
13.0 Mbits/sec   0.117 ms    1/11062 (0.009%)
19.0 Mbits/sec   0.122 ms    2/16181 (0.012%)
16.0 Mbits/sec   0.070 ms    0/13606 (0%)
15.0 Mbits/sec   0.220 ms    1/12755 (0.0078%)
9.01 Mbits/sec   0.074 ms    0/ 7658 (0%)
25.0 Mbits/sec   0.112 ms    3/21277 (0.014%)
22.0 Mbits/sec   0.160 ms    4/18727 (0.021%)
20.0 Mbits/sec   0.101 ms    2/17007 (0.012%)
15.0 Mbits/sec   0.099 ms    1/12755 (0.0078%)
19.0 Mbits/sec   0.111 ms    9/16181 (0.056%)
15.0 Mbits/sec   0.136 ms    0/12755 (0%)
24.0 Mbits/sec   0.119 ms    4/20408 (0.02%)
25.8 Mbits/sec   0.171 ms  974/22989 (4.2%)
19.0 Mbits/sec   0.062 ms    2/16181 (0.012%)
20.0 Mbits/sec   0.050 ms    4/17002 (0.024%)
17.0 Mbits/sec   0.082 ms    1/14471 (0.0069%)
11.0 Mbits/sec   0.166 ms    1/ 9355 (0.011%)
12.0 Mbits/sec   0.160 ms    1/10204 (0.0098%)
20.0 Mbits/sec   0.142 ms    4/17007 (0.024%)
17.0 Mbits/sec   0.097 ms    3/14472 (0.021%)
17.0 Mbits/sec   0.093 ms    2/14472 (0.014%)
25.0 Mbits/sec   0.111 ms   14/21277 (0.066%)
26.0 Mbits/sec   0.106 ms    5/22120 (0.023%)
12.0 Mbits/sec   0.105 ms    2/10204 (0.02%)
19.0 Mbits/sec   0.124 ms    4/16182 (0.025%)
16.0 Mbits/sec   0.099 ms    1/13606 (0.0073%)
26.0 Mbits/sec   0.157 ms    6/22124 (0.027%)
20.0 Mbits/sec   0.101 ms    1/17007 (0.0059%)
22.0 Mbits/sec   0.152 ms    8/18727 (0.043%)
23.0 Mbits/sec   0.141 ms    4/19570 (0.02%)
17.0 Mbits/sec   0.137 ms    1/14472 (0.0069%)
20.0 Mbits/sec   0.083 ms    3/17007 (0.018%)
18.0 Mbits/sec   0.107 ms    0/15314 (0%)
27.0 Mbits/sec   0.206 ms    9/22989 (0.039%)
22.0 Mbits/sec   0.117 ms    3/18727 (0.016%)
25.7 Mbits/sec   0.088 ms  112/22124 (0.51%)
19.0 Mbits/sec   0.115 ms    1/16181 (0.0062%)
20.0 Mbits/sec   0.119 ms    5/17007 (0.029%)
11.0 Mbits/sec   0.142 ms    1/ 9355 (0.011%)
14.0 Mbits/sec   0.083 ms    2/11905 (0.017%)
22.0 Mbits/sec   0.162 ms    4/18727 (0.021%)
12.0 Mbits/sec   0.090 ms    0/10204 (0%)
19.0 Mbits/sec   0.126 ms    5/16181 (0.031%)
20.0 Mbits/sec   0.126 ms    1/17007 (0.0059%)
10.0 Mbits/sec   0.097 ms    0/ 8505 (0%)
23.0 Mbits/sec   0.130 ms    3/19570 (0.015%)
16.0 Mbits/sec   0.147 ms    2/13606 (0.015%)
20.0 Mbits/sec   0.120 ms   16/17007 (0.094%)
22.0 Mbits/sec   0.088 ms  827/19569 (4.2%)
20.0 Mbits/sec   0.146 ms    4/17007 (0.024%)
