    4/17857 (0.022%)
    3/14472 (0.021%)
    0/12755 (0%)
    3/19571 (0.015%)
    7/16182 (0.043%)
    6/19571 (0.031%)
    2/11062 (0.018%)
    1/14473 (0.0069%)
    0/14472 (0%)
    4/18727 (0.021%)
    1/11062 (0.009%)
    2/16181 (0.012%)
    0/13606 (0%)
    1/12755 (0.0078%)
    0/ 7658 (0%)
    3/21277 (0.014%)
    4/18727 (0.021%)
    2/17007 (0.012%)
    1/12755 (0.0078%)
    9/16181 (0.056%)
    0/12755 (0%)
    4/20408 (0.02%)
  974/22989 (4.2%)
    2/16181 (0.012%)
    4/17002 (0.024%)
    1/14471 (0.0069%)
    1/ 9355 (0.011%)
    1/10204 (0.0098%)
    4/17007 (0.024%)
    3/14472 (0.021%)
    2/14472 (0.014%)
   14/21277 (0.066%)
    5/22120 (0.023%)
    2/10204 (0.02%)
    4/16182 (0.025%)
    1/13606 (0.0073%)
    6/22124 (0.027%)
    1/17007 (0.0059%)
    8/18727 (0.043%)
    4/19570 (0.02%)
    1/14472 (0.0069%)
    3/17007 (0.018%)
    0/15314 (0%)
    9/22989 (0.039%)
    3/18727 (0.016%)
  112/22124 (0.51%)
    1/16181 (0.0062%)
    5/17007 (0.029%)
    1/ 9355 (0.011%)
    2/11905 (0.017%)
    4/18727 (0.021%)
    0/10204 (0%)
    5/16181 (0.031%)
    1/17007 (0.0059%)
    0/ 8505 (0%)
    3/19570 (0.015%)
    2/13606 (0.015%)
   16/17007 (0.094%)
  827/19569 (4.2%)
    4/17007 (0.024%)
