21.8 Mbits/sec   0.280 ms  118/18727 (0.63%)
15.0 Mbits/sec   0.168 ms    0/12755 (0%)
18.0 Mbits/sec   0.196 ms    1/15315 (0.0065%)
14.0 Mbits/sec   0.133 ms    0/11905 (0%)
18.0 Mbits/sec   0.129 ms    0/15314 (0%)
21.0 Mbits/sec   0.132 ms    0/17857 (0%)
15.0 Mbits/sec   0.128 ms    1/12755 (0.0078%)
15.0 Mbits/sec   0.037 ms    1/12755 (0.0078%)
20.0 Mbits/sec   0.156 ms    1/17007 (0.0059%)
17.0 Mbits/sec   0.076 ms    1/14472 (0.0069%)
14.0 Mbits/sec   0.151 ms    1/11905 (0.0084%)
17.0 Mbits/sec   0.128 ms    1/14472 (0.0069%)
21.0 Mbits/sec   0.169 ms    1/17857 (0.0056%)
16.0 Mbits/sec   0.074 ms    0/13606 (0%)
15.0 Mbits/sec   0.105 ms    0/12755 (0%)
21.0 Mbits/sec   0.128 ms    0/17857 (0%)
21.0 Mbits/sec   0.149 ms    1/17857 (0.0056%)
14.0 Mbits/sec   0.141 ms    0/11905 (0%)
17.0 Mbits/sec   0.128 ms    0/14472 (0%)
17.0 Mbits/sec   0.144 ms    1/14472 (0.0069%)
17.0 Mbits/sec   0.101 ms    0/14472 (0%)
15.0 Mbits/sec   0.117 ms    0/12755 (0%)
17.0 Mbits/sec   0.076 ms    1/14472 (0.0069%)
20.0 Mbits/sec   0.108 ms    1/17007 (0.0059%)
15.0 Mbits/sec   0.079 ms    0/12755 (0%)
9.01 Mbits/sec   0.063 ms    0/ 7657 (0%)
14.0 Mbits/sec   0.086 ms    0/11905 (0%)
18.0 Mbits/sec   0.139 ms    1/15314 (0.0065%)
16.0 Mbits/sec   0.061 ms    1/13606 (0.0073%)
20.0 Mbits/sec   0.144 ms    0/17007 (0%)
17.0 Mbits/sec   0.069 ms    0/14472 (0%)
18.0 Mbits/sec   0.182 ms    1/15313 (0.0065%)
19.0 Mbits/sec   0.164 ms    0/16181 (0%)
19.0 Mbits/sec   0.140 ms    0/16181 (0%)
20.0 Mbits/sec   0.172 ms    1/17004 (0.0059%)
25.0 Mbits/sec   0.178 ms    0/21277 (0%)
16.0 Mbits/sec   0.151 ms    0/13606 (0%)
20.0 Mbits/sec   0.122 ms    0/17007 (0%)
18.0 Mbits/sec   0.163 ms    1/15314 (0.0065%)
13.0 Mbits/sec   0.149 ms    0/11062 (0%)
19.0 Mbits/sec   0.093 ms    0/16181 (0%)
17.0 Mbits/sec   0.085 ms    0/14472 (0%)
20.0 Mbits/sec   0.181 ms    0/17007 (0%)
14.0 Mbits/sec   0.140 ms    0/11905 (0%)
16.0 Mbits/sec   0.119 ms    0/13606 (0%)
20.0 Mbits/sec   0.180 ms    1/17007 (0.0059%)
16.0 Mbits/sec   0.164 ms    0/13606 (0%)
23.0 Mbits/sec   0.200 ms    0/19570 (0%)
18.0 Mbits/sec   0.148 ms    1/15314 (0.0065%)
19.0 Mbits/sec   0.048 ms    0/16181 (0%)
21.0 Mbits/sec   0.120 ms    0/17857 (0%)
19.0 Mbits/sec   0.113 ms    1/16182 (0.0062%)
21.0 Mbits/sec   0.180 ms    0/17857 (0%)
19.0 Mbits/sec   0.121 ms    1/16181 (0.0062%)
22.0 Mbits/sec   0.192 ms    2/18727 (0.011%)
18.0 Mbits/sec   0.086 ms    1/15314 (0.0065%)
13.0 Mbits/sec   0.087 ms    0/11062 (0%)
20.0 Mbits/sec   0.185 ms    0/17007 (0%)
22.0 Mbits/sec   0.129 ms    1/18727 (0.0053%)
20.0 Mbits/sec   0.113 ms    1/17007 (0.0059%)
