  845/19570 (4.3%)
    4/17857 (0.022%)
    0/11062 (0%)
    2/19570 (0.01%)
    2/15314 (0.013%)
    1/15314 (0.0065%)
    0/12755 (0%)
    2/15314 (0.013%)
    2/17007 (0.012%)
    2/17007 (0.012%)
    2/18727 (0.011%)
    1/20408 (0.0049%)
    1/13606 (0.0073%)
    1/17007 (0.0059%)
    0/12755 (0%)
    0/11906 (0%)
    1/12751 (0.0078%)
    0/11062 (0%)
    0/11905 (0%)
    0/11905 (0%)
    3/16181 (0.019%)
    0/11905 (0%)
    2/12755 (0.016%)
    4/18728 (0.021%)
    3/20408 (0.015%)
    0/11903 (0%)
    5/17007 (0.029%)
    0/14470 (0%)
    2/17007 (0.012%)
    1/12755 (0.0078%)
    2/20408 (0.0098%)
    1/15314 (0.0065%)
    1/17007 (0.0059%)
    1/11905 (0.0084%)
    3/20408 (0.015%)
    0/ 8504 (0%)
    3/15314 (0.02%)
    2/12755 (0.016%)
    0/10204 (0%)
    1/13606 (0.0073%)
    2/16181 (0.012%)
    1/14472 (0.0069%)
    0/ 9355 (0%)
    0/11062 (0%)
    4/18727 (0.021%)
    0/10204 (0%)
    2/14472 (0.014%)
    2/17007 (0.012%)
    1/14472 (0.0069%)
    1/16181 (0.0062%)
    1/11905 (0.0084%)
    1/17007 (0.0059%)
    1/19570 (0.0051%)
    1/14472 (0.0069%)
    4/17857 (0.022%)
    2/17007 (0.012%)
    0/18727 (0%)
    2/18727 (0.011%)
    0/13606 (0%)
    3/17857 (0.017%)
