17.0 Mbits/sec   0.096 ms    0/14472 (0%)
10.0 Mbits/sec   0.037 ms    0/ 8504 (0%)
11.0 Mbits/sec   0.073 ms    0/ 9355 (0%)
14.0 Mbits/sec   0.056 ms    0/11905 (0%)
8.00 Mbits/sec   0.070 ms    0/ 6804 (0%)
5.00 Mbits/sec   0.072 ms    0/ 4252 (0%)
11.0 Mbits/sec   0.094 ms    0/ 9355 (0%)
15.0 Mbits/sec   0.043 ms    0/12755 (0%)
11.0 Mbits/sec   0.081 ms    0/ 9353 (0%)
13.0 Mbits/sec   0.105 ms    0/11062 (0%)
11.0 Mbits/sec   0.069 ms    0/ 9355 (0%)
7.00 Mbits/sec   0.088 ms    0/ 5954 (0%)
15.0 Mbits/sec   0.081 ms    0/12755 (0%)
5.00 Mbits/sec   0.091 ms    0/ 4252 (0%)
16.0 Mbits/sec   0.078 ms    0/13606 (0%)
9.01 Mbits/sec   0.081 ms    0/ 7657 (0%)
10.0 Mbits/sec   0.105 ms    0/ 8505 (0%)
5.00 Mbits/sec   0.098 ms    0/ 4252 (0%)
13.0 Mbits/sec   0.102 ms    0/11062 (0%)
16.0 Mbits/sec   0.059 ms    0/13604 (0%)
7.00 Mbits/sec   0.052 ms    0/ 5953 (0%)
16.0 Mbits/sec   0.057 ms    2/13606 (0.015%)
9.01 Mbits/sec   0.070 ms    0/ 7657 (0%)
11.0 Mbits/sec   0.105 ms    2/ 9355 (0.021%)
12.0 Mbits/sec   0.110 ms    0/10204 (0%)
11.0 Mbits/sec   0.093 ms    1/ 9355 (0.011%)
13.0 Mbits/sec   0.078 ms    0/11062 (0%)
9.01 Mbits/sec   0.089 ms    0/ 7657 (0%)
7.00 Mbits/sec   0.058 ms    0/ 5953 (0%)
11.0 Mbits/sec   0.048 ms    0/ 9355 (0%)
5.00 Mbits/sec   0.059 ms    0/ 4252 (0%)
13.0 Mbits/sec   0.083 ms    0/11062 (0%)
12.0 Mbits/sec   0.124 ms    0/10204 (0%)
12.0 Mbits/sec   0.082 ms    0/10204 (0%)
13.0 Mbits/sec   0.085 ms    0/11062 (0%)
12.0 Mbits/sec   0.121 ms    0/10204 (0%)
6.00 Mbits/sec   0.024 ms    0/ 5103 (0%)
10.0 Mbits/sec   0.071 ms    1/ 8504 (0.012%)
10.0 Mbits/sec   0.067 ms    0/ 8504 (0%)
14.0 Mbits/sec   0.061 ms    0/11905 (0%)
9.01 Mbits/sec   0.111 ms    1/ 7657 (0.013%)
3.00 Mbits/sec   0.078 ms    0/ 2551 (0%)
12.0 Mbits/sec   0.084 ms    1/10204 (0.0098%)
12.0 Mbits/sec   0.067 ms    0/10204 (0%)
14.0 Mbits/sec   0.093 ms    0/11906 (0%)
8.00 Mbits/sec   0.081 ms    0/ 6803 (0%)
10.0 Mbits/sec   0.038 ms    0/ 8504 (0%)
10.0 Mbits/sec   0.092 ms    0/ 8505 (0%)
11.0 Mbits/sec   0.073 ms    0/ 9355 (0%)
8.00 Mbits/sec   0.081 ms    0/ 6803 (0%)
7.00 Mbits/sec   0.070 ms    0/ 5953 (0%)
11.0 Mbits/sec   0.084 ms    0/ 9355 (0%)
2.00 Mbits/sec   0.039 ms    0/ 1702 (0%)
11.0 Mbits/sec   0.104 ms    0/ 9355 (0%)
11.0 Mbits/sec   0.110 ms    0/ 9355 (0%)
8.00 Mbits/sec   0.082 ms    0/ 6803 (0%)
9.01 Mbits/sec   0.074 ms    0/ 7657 (0%)
3.00 Mbits/sec   0.071 ms    0/ 2551 (0%)
12.0 Mbits/sec   0.113 ms    0/10204 (0%)
15.0 Mbits/sec   0.062 ms    1/12755 (0.0078%)
