  975/22989 (4.2%)
    0/12755 (0%)
    6/19571 (0.031%)
    2/11905 (0.017%)
    5/15314 (0.033%)
    6/13606 (0.044%)
    3/17007 (0.018%)
    5/13606 (0.037%)
    6/17007 (0.035%)
   16/19570 (0.082%)
   12/17857 (0.067%)
    3/12756 (0.024%)
    0/ 6803 (0%)
    4/20408 (0.02%)
    3/11062 (0.027%)
    0/13606 (0%)
    8/17857 (0.045%)
    3/15314 (0.02%)
    5/15314 (0.033%)
    8/22124 (0.036%)
    2/13606 (0.015%)
    3/12755 (0.024%)
    3/15311 (0.02%)
    2/14472 (0.014%)
    1/11062 (0.009%)
  881/22124 (4%)
    4/16181 (0.025%)
    8/17007 (0.047%)
    2/ 9355 (0.021%)
    5/20408 (0.025%)
    0/10205 (0%)
    3/11062 (0.027%)
    5/17007 (0.029%)
    0/13606 (0%)
    1/11905 (0.0084%)
    6/22125 (0.027%)
    3/17007 (0.018%)
    1/ 9355 (0.011%)
    1/14472 (0.0069%)
    0/ 7657 (0%)
    2/11062 (0.018%)
    4/15314 (0.026%)
    4/20408 (0.02%)
    1/16181 (0.0062%)
    1/11062 (0.009%)
    9/20408 (0.044%)
    0/ 9355 (0%)
    2/14472 (0.014%)
    4/16182 (0.025%)
    2/13606 (0.015%)
    4/16181 (0.025%)
    3/20408 (0.015%)
    1/14472 (0.0069%)
    2/17005 (0.012%)
    2/17007 (0.012%)
    9/22989 (0.039%)
    0/11062 (0%)
    0/11062 (0%)
    0/14472 (0%)
    2/16181 (0.012%)
