23.0 Mbits/sec   0.251 ms    1/19570 (0.0051%)
22.0 Mbits/sec   0.160 ms    1/18727 (0.0053%)
36.1 Mbits/sec   0.276 ms    1/30675 (0.0033%)
19.0 Mbits/sec   0.174 ms    0/16181 (0%)
13.0 Mbits/sec   0.053 ms    0/11062 (0%)
13.0 Mbits/sec   0.068 ms    0/11063 (0%)
37.1 Mbits/sec   0.256 ms    5/31546 (0.016%)
5.00 Mbits/sec   0.028 ms    0/ 4252 (0%)
6.00 Mbits/sec   0.052 ms    0/ 5102 (0%)
17.0 Mbits/sec   0.104 ms    1/14472 (0.0069%)
5.00 Mbits/sec   0.100 ms    0/ 4252 (0%)
29.0 Mbits/sec   0.351 ms    0/24691 (0%)
21.0 Mbits/sec   0.205 ms    1/17857 (0.0056%)
27.0 Mbits/sec   0.330 ms    1/22989 (0.0043%)
10.0 Mbits/sec   0.052 ms    0/ 8504 (0%)
26.0 Mbits/sec   0.269 ms    1/22124 (0.0045%)
25.0 Mbits/sec   0.278 ms    1/21277 (0.0047%)
22.0 Mbits/sec   0.195 ms    2/18727 (0.011%)
40.0 Mbits/sec   0.169 ms    2/34013 (0.0059%)
6.00 Mbits/sec   0.125 ms    0/ 5102 (0%)
17.0 Mbits/sec   0.069 ms    1/14472 (0.0069%)
14.0 Mbits/sec   0.061 ms    1/11905 (0.0084%)
21.0 Mbits/sec   0.131 ms    0/17857 (0%)
32.1 Mbits/sec   0.321 ms    2/27248 (0.0073%)
32.1 Mbits/sec   0.311 ms    2/27248 (0.0073%)
6.00 Mbits/sec   0.049 ms    0/ 5102 (0%)
30.0 Mbits/sec   0.273 ms    3/25510 (0.012%)
29.0 Mbits/sec   0.282 ms    1/24692 (0.004%)
21.0 Mbits/sec   0.258 ms    0/17857 (0%)
19.0 Mbits/sec   0.130 ms    0/16181 (0%)
0.01 Mbits/sec   0.052 ms    0/   11 (0%)
24.0 Mbits/sec   0.325 ms    0/20408 (0%)
37.1 Mbits/sec   0.203 ms    5/31546 (0.016%)
20.0 Mbits/sec   0.131 ms    1/17007 (0.0059%)
36.1 Mbits/sec   0.255 ms    4/30675 (0.013%)
26.0 Mbits/sec   0.348 ms    2/22124 (0.009%)
15.0 Mbits/sec   0.081 ms    1/12755 (0.0078%)
41.1 Mbits/sec   0.238 ms    2/34965 (0.0057%)
36.1 Mbits/sec   0.208 ms    4/30675 (0.013%)
34.1 Mbits/sec   0.226 ms    4/28986 (0.014%)
29.0 Mbits/sec   0.282 ms    5/24691 (0.02%)
28.0 Mbits/sec   0.354 ms    8/23810 (0.034%)
25.0 Mbits/sec   0.374 ms    3/21277 (0.014%)
28.0 Mbits/sec   0.382 ms    0/23810 (0%)
35.0 Mbits/sec   0.226 ms    1/29763 (0.0034%)
0.01 Mbits/sec   0.039 ms    0/   11 (0%)
15.0 Mbits/sec   0.099 ms    0/12755 (0%)
17.0 Mbits/sec   0.053 ms    0/14472 (0%)
25.0 Mbits/sec   0.357 ms    6/21277 (0.028%)
15.0 Mbits/sec   0.053 ms    3/12755 (0.024%)
9.01 Mbits/sec   0.070 ms    0/ 7657 (0%)
20.0 Mbits/sec   0.050 ms    3/17007 (0.018%)
11.0 Mbits/sec   0.078 ms    0/ 9355 (0%)
4.00 Mbits/sec   0.068 ms    0/ 3403 (0%)
30.0 Mbits/sec   0.324 ms    2/25510 (0.0078%)
26.0 Mbits/sec   0.367 ms    3/22124 (0.014%)
6.00 Mbits/sec   0.026 ms    0/ 5102 (0%)
12.0 Mbits/sec   0.048 ms    0/10204 (0%)
6.00 Mbits/sec   0.090 ms    0/ 5103 (0%)
14.0 Mbits/sec   0.028 ms    2/11905 (0.017%)
