17.2 Mbits/sec   0.069 ms  116/14472 (0.8%)
17.1 Mbits/sec   0.069 ms   39/14472 (0.27%)
17.0 Mbits/sec   0.102 ms    1/14473 (0.0069%)
17.0 Mbits/sec   0.135 ms    4/14472 (0.028%)
17.0 Mbits/sec   0.118 ms    0/14472 (0%)
17.0 Mbits/sec   0.113 ms    1/14472 (0.0069%)
17.0 Mbits/sec   0.132 ms    2/14472 (0.014%)
17.0 Mbits/sec   0.126 ms    0/14472 (0%)
17.0 Mbits/sec   0.161 ms    0/14472 (0%)
17.0 Mbits/sec   0.127 ms    1/14472 (0.0069%)
17.0 Mbits/sec   0.139 ms    0/14472 (0%)
17.0 Mbits/sec   0.136 ms    0/14472 (0%)
17.0 Mbits/sec   0.111 ms    1/14472 (0.0069%)
17.0 Mbits/sec   0.136 ms    2/14472 (0.014%)
17.0 Mbits/sec   0.154 ms    1/14472 (0.0069%)
17.0 Mbits/sec   0.130 ms    1/14472 (0.0069%)
17.0 Mbits/sec   0.116 ms    1/14472 (0.0069%)
17.0 Mbits/sec   0.121 ms    1/14472 (0.0069%)
17.0 Mbits/sec   0.104 ms    0/14472 (0%)
17.0 Mbits/sec   0.152 ms    7/14472 (0.048%)
17.0 Mbits/sec   0.142 ms    2/14473 (0.014%)
17.0 Mbits/sec   0.127 ms    1/14472 (0.0069%)
17.0 Mbits/sec   0.165 ms    1/14472 (0.0069%)
17.0 Mbits/sec   0.129 ms    0/14472 (0%)
17.0 Mbits/sec   0.125 ms    1/14472 (0.0069%)
17.0 Mbits/sec   0.106 ms    2/14472 (0.014%)
17.0 Mbits/sec   0.134 ms    0/14472 (0%)
17.0 Mbits/sec   0.139 ms    1/14472 (0.0069%)
17.0 Mbits/sec   0.146 ms    1/14472 (0.0069%)
17.0 Mbits/sec   0.152 ms    1/14472 (0.0069%)
17.0 Mbits/sec   0.116 ms    7/14472 (0.048%)
17.0 Mbits/sec   0.231 ms    1/14472 (0.0069%)
17.0 Mbits/sec   0.168 ms    0/14472 (0%)
17.0 Mbits/sec   0.140 ms    0/14472 (0%)
17.0 Mbits/sec   0.131 ms    0/14472 (0%)
17.0 Mbits/sec   0.118 ms    1/14472 (0.0069%)
17.0 Mbits/sec   0.151 ms    0/14472 (0%)
17.0 Mbits/sec   0.145 ms    1/14472 (0.0069%)
17.0 Mbits/sec   0.096 ms    2/14472 (0.014%)
17.0 Mbits/sec   0.152 ms    1/14472 (0.0069%)
17.0 Mbits/sec   0.140 ms    0/14472 (0%)
17.0 Mbits/sec   0.131 ms    2/14472 (0.014%)
17.0 Mbits/sec   0.101 ms    1/14472 (0.0069%)
17.0 Mbits/sec   0.105 ms    1/14472 (0.0069%)
17.0 Mbits/sec   0.134 ms    2/14472 (0.014%)
17.0 Mbits/sec   0.147 ms    1/14472 (0.0069%)
17.0 Mbits/sec   0.140 ms    1/14472 (0.0069%)
17.0 Mbits/sec   0.110 ms    3/14472 (0.021%)
17.0 Mbits/sec   0.135 ms    1/14472 (0.0069%)
17.0 Mbits/sec   0.122 ms    1/14472 (0.0069%)
17.0 Mbits/sec   0.118 ms    1/14472 (0.0069%)
17.0 Mbits/sec   0.130 ms    0/14472 (0%)
17.0 Mbits/sec   0.131 ms    1/14472 (0.0069%)
17.0 Mbits/sec   0.107 ms    0/14473 (0%)
17.0 Mbits/sec   0.134 ms    1/14472 (0.0069%)
17.0 Mbits/sec   0.151 ms    1/14472 (0.0069%)
17.0 Mbits/sec   0.094 ms    1/14472 (0.0069%)
17.0 Mbits/sec   0.142 ms    2/14470 (0.014%)
17.0 Mbits/sec   0.167 ms    0/14472 (0%)
17.0 Mbits/sec   0.129 ms    1/14472 (0.0069%)
