16.0 Mbits/sec   0.088 ms    1/13606 (0.0073%)
10.0 Mbits/sec   0.134 ms    0/ 8504 (0%)
3.00 Mbits/sec   0.060 ms    0/ 2551 (0%)
7.00 Mbits/sec   0.101 ms    0/ 5953 (0%)
8.00 Mbits/sec   0.049 ms    0/ 6803 (0%)
9.01 Mbits/sec   0.051 ms    0/ 7657 (0%)
7.00 Mbits/sec   0.081 ms    0/ 5954 (0%)
7.00 Mbits/sec   0.079 ms    0/ 5953 (0%)
6.00 Mbits/sec   0.052 ms    0/ 5102 (0%)
8.00 Mbits/sec   0.050 ms    0/ 6803 (0%)
14.0 Mbits/sec   0.032 ms    2/11905 (0.017%)
5.00 Mbits/sec   0.025 ms    0/ 4252 (0%)
4.00 Mbits/sec   0.032 ms    0/ 3402 (0%)
14.0 Mbits/sec   0.027 ms    1/11905 (0.0084%)
4.00 Mbits/sec   0.038 ms    0/ 3403 (0%)
6.00 Mbits/sec   0.084 ms    0/ 5103 (0%)
5.00 Mbits/sec   0.036 ms    0/ 4252 (0%)
5.00 Mbits/sec   0.023 ms    0/ 4252 (0%)
2.00 Mbits/sec   0.029 ms    0/ 1702 (0%)
12.0 Mbits/sec   0.017 ms    0/10204 (0%)
8.00 Mbits/sec   0.019 ms    0/ 6803 (0%)
8.00 Mbits/sec   0.025 ms    1/ 6803 (0.015%)
9.01 Mbits/sec   0.025 ms    0/ 7657 (0%)
10.0 Mbits/sec   0.041 ms    0/ 8504 (0%)
0.01 Mbits/sec   0.040 ms    0/   11 (0%)
9.01 Mbits/sec   0.054 ms    0/ 7657 (0%)
10.0 Mbits/sec   0.029 ms    0/ 8504 (0%)
8.00 Mbits/sec   0.033 ms    0/ 6803 (0%)
5.00 Mbits/sec   0.054 ms    0/ 4252 (0%)
7.00 Mbits/sec   0.019 ms    0/ 5954 (0%)
7.00 Mbits/sec   0.045 ms    0/ 5953 (0%)
0.01 Mbits/sec   0.051 ms    0/   11 (0%)
3.00 Mbits/sec   0.046 ms    0/ 2552 (0%)
6.00 Mbits/sec   0.023 ms    0/ 5103 (0%)
5.00 Mbits/sec   0.029 ms    0/ 4252 (0%)
8.00 Mbits/sec   0.035 ms    0/ 6803 (0%)
6.00 Mbits/sec   0.056 ms    0/ 5103 (0%)
9.01 Mbits/sec   0.020 ms    0/ 7657 (0%)
4.00 Mbits/sec   0.017 ms    0/ 3402 (0%)
5.00 Mbits/sec   0.041 ms    0/ 4253 (0%)
9.01 Mbits/sec   0.023 ms    0/ 7657 (0%)
2.00 Mbits/sec   0.022 ms    0/ 1702 (0%)
8.00 Mbits/sec   0.022 ms    0/ 6803 (0%)
13.0 Mbits/sec   0.016 ms    1/11062 (0.009%)
7.00 Mbits/sec   0.046 ms    0/ 5953 (0%)
4.00 Mbits/sec   0.057 ms    0/ 3402 (0%)
10.0 Mbits/sec   0.041 ms    0/ 8504 (0%)
8.00 Mbits/sec   0.034 ms    1/ 6803 (0.015%)
8.00 Mbits/sec   0.035 ms    1/ 6803 (0.015%)
10.0 Mbits/sec   0.045 ms    4/ 8504 (0.047%)
11.0 Mbits/sec   0.035 ms    0/ 9355 (0%)
11.0 Mbits/sec   0.022 ms    1/ 9355 (0.011%)
14.0 Mbits/sec   0.032 ms    0/11905 (0%)
2.00 Mbits/sec   0.040 ms    0/ 1702 (0%)
6.00 Mbits/sec   0.026 ms    0/ 5102 (0%)
6.00 Mbits/sec   0.017 ms    0/ 5102 (0%)
5.00 Mbits/sec   0.027 ms    0/ 4253 (0%)
9.01 Mbits/sec   0.033 ms    0/ 7657 (0%)
9.01 Mbits/sec   0.018 ms    0/ 7657 (0%)
5.00 Mbits/sec   0.021 ms    0/ 4252 (0%)
