17.0 Mbits/sec   0.070 ms    0/14472 (0%)
8.00 Mbits/sec   0.072 ms    1/ 6803 (0.015%)
15.0 Mbits/sec   0.051 ms    1/12755 (0.0078%)
15.0 Mbits/sec   0.052 ms    0/12755 (0%)
13.0 Mbits/sec   0.055 ms    3/11063 (0.027%)
10.0 Mbits/sec   0.050 ms    1/ 8504 (0.012%)
14.0 Mbits/sec   0.324 ms    1/11905 (0.0084%)
10.0 Mbits/sec   0.068 ms    0/ 8504 (0%)
15.0 Mbits/sec   0.045 ms    1/12755 (0.0078%)
11.0 Mbits/sec   0.057 ms    0/ 9355 (0%)
15.0 Mbits/sec   0.062 ms    0/12755 (0%)
12.0 Mbits/sec   0.072 ms    0/10204 (0%)
12.0 Mbits/sec   0.039 ms    0/10204 (0%)
8.00 Mbits/sec   0.036 ms    0/ 6804 (0%)
13.0 Mbits/sec   0.042 ms    0/11063 (0%)
10.0 Mbits/sec   0.046 ms    0/ 8504 (0%)
12.0 Mbits/sec   0.050 ms    0/10204 (0%)
12.0 Mbits/sec   0.051 ms    0/10204 (0%)
14.0 Mbits/sec   0.047 ms    0/11905 (0%)
5.00 Mbits/sec   0.067 ms    0/ 4253 (0%)
7.00 Mbits/sec   0.110 ms    0/ 5953 (0%)
12.0 Mbits/sec   0.093 ms    0/10204 (0%)
8.00 Mbits/sec   0.046 ms    1/ 6803 (0.015%)
15.0 Mbits/sec   0.059 ms    0/12755 (0%)
15.0 Mbits/sec   0.041 ms    0/12755 (0%)
10.0 Mbits/sec   0.058 ms    0/ 8504 (0%)
8.00 Mbits/sec   0.036 ms    0/ 6803 (0%)
9.01 Mbits/sec   0.041 ms    0/ 7657 (0%)
11.0 Mbits/sec   0.048 ms    0/ 9355 (0%)
7.00 Mbits/sec   0.067 ms    0/ 5953 (0%)
10.0 Mbits/sec   0.057 ms    0/ 8504 (0%)
9.01 Mbits/sec   0.098 ms    0/ 7657 (0%)
15.0 Mbits/sec   0.043 ms    0/12755 (0%)
12.0 Mbits/sec   0.078 ms    0/10204 (0%)
13.0 Mbits/sec   0.057 ms    1/11063 (0.009%)
7.00 Mbits/sec   0.047 ms    0/ 5953 (0%)
8.00 Mbits/sec   0.049 ms    0/ 6803 (0%)
9.01 Mbits/sec   0.094 ms    1/ 7657 (0.013%)
11.0 Mbits/sec   0.064 ms    0/ 9355 (0%)
8.00 Mbits/sec   0.066 ms    0/ 6804 (0%)
13.0 Mbits/sec   0.051 ms    0/11062 (0%)
12.0 Mbits/sec   0.046 ms    1/10204 (0.0098%)
6.00 Mbits/sec   0.088 ms    0/ 5102 (0%)
7.00 Mbits/sec   0.061 ms    0/ 5953 (0%)
7.00 Mbits/sec   0.071 ms    0/ 5953 (0%)
7.00 Mbits/sec   0.064 ms    0/ 5953 (0%)
10.0 Mbits/sec   0.056 ms    0/ 8504 (0%)
10.0 Mbits/sec   0.054 ms    0/ 8504 (0%)
11.0 Mbits/sec   0.062 ms    0/ 9355 (0%)
11.0 Mbits/sec   0.091 ms    0/ 9355 (0%)
8.00 Mbits/sec   0.053 ms    0/ 6803 (0%)
5.00 Mbits/sec   0.074 ms    0/ 4252 (0%)
10.0 Mbits/sec   0.067 ms    0/ 8504 (0%)
11.0 Mbits/sec   0.055 ms    0/ 9355 (0%)
8.00 Mbits/sec   0.060 ms    0/ 6803 (0%)
13.0 Mbits/sec   0.057 ms    1/11062 (0.009%)
15.0 Mbits/sec   0.062 ms    1/12755 (0.0078%)
14.0 Mbits/sec   0.083 ms    0/11905 (0%)
13.0 Mbits/sec   0.047 ms    0/11062 (0%)
12.0 Mbits/sec   0.100 ms    0/10204 (0%)
