9.01 Mbits/sec   0.047 ms    0/ 7657 (0%)
12.0 Mbits/sec   0.128 ms    0/10204 (0%)
17.0 Mbits/sec   0.082 ms    0/14472 (0%)
11.0 Mbits/sec   0.080 ms    0/ 9355 (0%)
13.0 Mbits/sec   0.077 ms    0/11062 (0%)
17.0 Mbits/sec   0.092 ms    0/14472 (0%)
16.0 Mbits/sec   0.079 ms    0/13606 (0%)
13.0 Mbits/sec   0.091 ms    0/11062 (0%)
17.0 Mbits/sec   0.076 ms    0/14472 (0%)
12.0 Mbits/sec   0.097 ms    0/10204 (0%)
12.0 Mbits/sec   0.035 ms    0/10204 (0%)
15.0 Mbits/sec   0.118 ms    0/12755 (0%)
14.0 Mbits/sec   0.048 ms    0/11905 (0%)
14.0 Mbits/sec   0.099 ms    0/11905 (0%)
13.0 Mbits/sec   0.101 ms    0/11062 (0%)
11.0 Mbits/sec   0.062 ms    0/ 9355 (0%)
14.0 Mbits/sec   0.067 ms    0/11905 (0%)
13.0 Mbits/sec   0.088 ms    0/11062 (0%)
13.0 Mbits/sec   0.073 ms    0/11062 (0%)
19.4 Mbits/sec   0.145 ms  368/17007 (2.2%)
18.0 Mbits/sec   0.081 ms    0/15314 (0%)
12.0 Mbits/sec   0.084 ms    0/10204 (0%)
15.0 Mbits/sec   0.071 ms    0/12755 (0%)
12.0 Mbits/sec   0.031 ms    0/10204 (0%)
8.00 Mbits/sec   0.093 ms    0/ 6803 (0%)
14.0 Mbits/sec   0.073 ms    0/11905 (0%)
12.0 Mbits/sec   0.034 ms    0/10204 (0%)
13.0 Mbits/sec   0.097 ms    0/11062 (0%)
14.0 Mbits/sec   0.070 ms    0/11905 (0%)
13.0 Mbits/sec   0.053 ms    0/11062 (0%)
15.0 Mbits/sec   0.065 ms    1/12755 (0.0078%)
12.0 Mbits/sec   0.075 ms    0/10204 (0%)
12.0 Mbits/sec   0.074 ms    0/10204 (0%)
14.0 Mbits/sec   0.082 ms    0/11905 (0%)
14.0 Mbits/sec   0.074 ms    0/11905 (0%)
10.0 Mbits/sec   0.058 ms    0/ 8504 (0%)
13.0 Mbits/sec   0.091 ms    0/11062 (0%)
11.0 Mbits/sec   0.052 ms    0/ 9355 (0%)
14.0 Mbits/sec   0.087 ms    0/11906 (0%)
10.0 Mbits/sec   0.070 ms    0/ 8504 (0%)
15.0 Mbits/sec   0.058 ms    0/12755 (0%)
12.0 Mbits/sec   0.063 ms    0/10204 (0%)
14.0 Mbits/sec   0.046 ms    0/11905 (0%)
14.0 Mbits/sec   0.063 ms    0/11905 (0%)
14.0 Mbits/sec   0.055 ms    0/11905 (0%)
17.0 Mbits/sec   0.119 ms    0/14472 (0%)
13.0 Mbits/sec   0.058 ms    0/11062 (0%)
14.0 Mbits/sec   0.039 ms    0/11905 (0%)
13.0 Mbits/sec   0.086 ms    0/11062 (0%)
10.0 Mbits/sec   0.150 ms    0/ 8504 (0%)
15.0 Mbits/sec   0.091 ms    0/12755 (0%)
14.0 Mbits/sec   0.065 ms    0/11905 (0%)
12.0 Mbits/sec   0.103 ms    0/10204 (0%)
13.0 Mbits/sec   0.286 ms    0/11062 (0%)
12.0 Mbits/sec   0.066 ms    0/10204 (0%)
16.0 Mbits/sec   0.085 ms    0/13606 (0%)
14.0 Mbits/sec   0.069 ms    1/11905 (0.0084%)
13.0 Mbits/sec   0.075 ms    0/11062 (0%)
14.0 Mbits/sec   0.056 ms    0/11905 (0%)
14.0 Mbits/sec   0.085 ms    0/11905 (0%)
