17.0 Mbits/sec   0.033 ms    3/14472 (0.021%)
14.0 Mbits/sec   0.018 ms    1/11905 (0.0084%)
8.00 Mbits/sec   0.076 ms    0/ 6803 (0%)
8.00 Mbits/sec   0.023 ms    0/ 6804 (0%)
7.00 Mbits/sec   0.025 ms    0/ 5953 (0%)
18.0 Mbits/sec   0.034 ms    2/15314 (0.013%)
10.0 Mbits/sec   0.027 ms    0/ 8504 (0%)
10.0 Mbits/sec   0.018 ms    0/ 8504 (0%)
10.0 Mbits/sec   0.030 ms    0/ 8504 (0%)
15.0 Mbits/sec   0.023 ms    0/12755 (0%)
13.0 Mbits/sec   0.038 ms    0/11063 (0%)
19.0 Mbits/sec   0.035 ms    2/16181 (0.012%)
12.0 Mbits/sec   0.037 ms    0/10204 (0%)
10.0 Mbits/sec   0.036 ms    1/ 8504 (0.012%)
14.0 Mbits/sec   0.023 ms    0/11905 (0%)
13.0 Mbits/sec   0.022 ms    2/11062 (0.018%)
12.0 Mbits/sec   0.026 ms    1/10204 (0.0098%)
11.0 Mbits/sec   0.179 ms    0/ 9356 (0%)
14.0 Mbits/sec   0.029 ms    1/11905 (0.0084%)
5.00 Mbits/sec   0.023 ms    0/ 4252 (0%)
16.0 Mbits/sec   0.060 ms    1/13606 (0.0073%)
11.0 Mbits/sec   0.029 ms    0/ 9355 (0%)
14.0 Mbits/sec   0.024 ms    1/11905 (0.0084%)
7.00 Mbits/sec   0.034 ms    0/ 5953 (0%)
9.01 Mbits/sec   0.028 ms    1/ 7657 (0.013%)
9.01 Mbits/sec   0.044 ms    0/ 7657 (0%)
13.0 Mbits/sec   0.065 ms    0/11062 (0%)
11.0 Mbits/sec   0.258 ms    0/ 9355 (0%)
16.0 Mbits/sec   0.016 ms    2/13606 (0.015%)
11.0 Mbits/sec   0.085 ms    1/ 9355 (0.011%)
12.0 Mbits/sec   0.017 ms    0/10204 (0%)
12.0 Mbits/sec   0.029 ms    0/10204 (0%)
16.0 Mbits/sec   0.022 ms    1/13606 (0.0073%)
13.0 Mbits/sec   0.030 ms    4/11062 (0.036%)
11.0 Mbits/sec   0.029 ms    0/ 9355 (0%)
16.0 Mbits/sec   0.018 ms    2/13606 (0.015%)
12.0 Mbits/sec   0.039 ms    2/10204 (0.02%)
14.0 Mbits/sec   0.022 ms    1/11905 (0.0084%)
5.00 Mbits/sec   0.022 ms    0/ 4252 (0%)
11.0 Mbits/sec   0.029 ms    0/ 9355 (0%)
11.0 Mbits/sec   0.020 ms    0/ 9356 (0%)
11.0 Mbits/sec   0.025 ms    0/ 9355 (0%)
14.0 Mbits/sec   0.024 ms    3/11905 (0.025%)
12.0 Mbits/sec   0.018 ms    0/10204 (0%)
10.0 Mbits/sec   0.021 ms    0/ 8504 (0%)
14.0 Mbits/sec   0.027 ms    0/11905 (0%)
11.0 Mbits/sec   0.042 ms    1/ 9355 (0.011%)
12.0 Mbits/sec   0.022 ms    2/10204 (0.02%)
7.00 Mbits/sec   0.021 ms    0/ 5954 (0%)
8.00 Mbits/sec   0.046 ms    1/ 6804 (0.015%)
13.0 Mbits/sec   0.024 ms    3/11062 (0.027%)
11.0 Mbits/sec   0.028 ms    0/ 9355 (0%)
15.0 Mbits/sec   0.031 ms    4/12755 (0.031%)
11.0 Mbits/sec   0.030 ms    2/ 9355 (0.021%)
9.01 Mbits/sec   0.026 ms    0/ 7657 (0%)
7.00 Mbits/sec   0.047 ms    0/ 5953 (0%)
16.0 Mbits/sec   0.330 ms    3/13606 (0.022%)
7.00 Mbits/sec   0.099 ms    0/ 5953 (0%)
13.0 Mbits/sec   0.019 ms    0/11062 (0%)
12.0 Mbits/sec   0.028 ms    0/10204 (0%)
