23.0 Mbits/sec   0.227 ms    3/19570 (0.015%)
11.0 Mbits/sec   0.068 ms    0/ 9355 (0%)
15.0 Mbits/sec   0.099 ms    0/12755 (0%)
10.0 Mbits/sec   0.077 ms    0/ 8504 (0%)
20.0 Mbits/sec   0.052 ms    3/17007 (0.018%)
17.0 Mbits/sec   0.043 ms    1/14472 (0.0069%)
20.0 Mbits/sec   0.037 ms    3/17007 (0.018%)
13.0 Mbits/sec   0.098 ms    0/11062 (0%)
16.0 Mbits/sec   0.095 ms    1/13606 (0.0073%)
17.0 Mbits/sec   0.069 ms    1/14470 (0.0069%)
20.0 Mbits/sec   0.118 ms    2/17007 (0.012%)
18.0 Mbits/sec   0.169 ms    1/15314 (0.0065%)
14.0 Mbits/sec   0.064 ms    0/11905 (0%)
18.0 Mbits/sec   0.070 ms    2/15314 (0.013%)
18.0 Mbits/sec   0.056 ms    3/15314 (0.02%)
13.0 Mbits/sec   0.073 ms    0/11062 (0%)
16.0 Mbits/sec   0.186 ms    2/13606 (0.015%)
10.0 Mbits/sec   0.077 ms    0/ 8504 (0%)
18.0 Mbits/sec   0.085 ms    3/15314 (0.02%)
12.0 Mbits/sec   0.087 ms    0/10204 (0%)
17.0 Mbits/sec   0.062 ms    1/14472 (0.0069%)
12.0 Mbits/sec   0.047 ms    2/10204 (0.02%)
24.0 Mbits/sec   0.252 ms    8/20408 (0.039%)
21.0 Mbits/sec   0.188 ms    7/17857 (0.039%)
16.0 Mbits/sec   0.061 ms    2/13607 (0.015%)
22.0 Mbits/sec   0.157 ms    6/18727 (0.032%)
18.0 Mbits/sec   0.053 ms    6/15314 (0.039%)
21.0 Mbits/sec   0.156 ms   18/17857 (0.1%)
7.00 Mbits/sec   0.081 ms    0/ 5953 (0%)
16.0 Mbits/sec   0.019 ms    6/13606 (0.044%)
16.0 Mbits/sec   0.047 ms    4/13606 (0.029%)
13.0 Mbits/sec   0.060 ms    4/11062 (0.036%)
22.0 Mbits/sec   0.187 ms   10/18727 (0.053%)
7.00 Mbits/sec   0.072 ms    1/ 5953 (0.017%)
20.0 Mbits/sec   0.074 ms    4/17007 (0.024%)
11.0 Mbits/sec   0.078 ms    2/ 9355 (0.021%)
19.0 Mbits/sec   0.103 ms    5/16181 (0.031%)
22.0 Mbits/sec   0.085 ms    7/18727 (0.037%)
21.0 Mbits/sec   0.061 ms    6/17857 (0.034%)
19.0 Mbits/sec   0.033 ms    2/16181 (0.012%)
17.0 Mbits/sec   0.072 ms    4/14472 (0.028%)
22.0 Mbits/sec   0.137 ms    4/18727 (0.021%)
14.0 Mbits/sec   0.080 ms    1/11905 (0.0084%)
18.0 Mbits/sec   0.060 ms    2/15314 (0.013%)
18.0 Mbits/sec   0.035 ms    3/15314 (0.02%)
20.0 Mbits/sec   0.039 ms    3/17007 (0.018%)
7.00 Mbits/sec   0.066 ms    0/ 5953 (0%)
25.0 Mbits/sec   0.276 ms    7/21277 (0.033%)
15.0 Mbits/sec   0.149 ms    3/12755 (0.024%)
14.0 Mbits/sec   0.073 ms    4/11905 (0.034%)
18.0 Mbits/sec   0.472 ms    3/15314 (0.02%)
11.0 Mbits/sec   0.088 ms    0/ 9356 (0%)
14.0 Mbits/sec   0.069 ms    1/11905 (0.0084%)
9.01 Mbits/sec   0.095 ms    0/ 7657 (0%)
19.0 Mbits/sec   0.029 ms    2/16182 (0.012%)
25.0 Mbits/sec   0.488 ms    6/21277 (0.028%)
18.0 Mbits/sec   0.043 ms    2/15314 (0.013%)
5.00 Mbits/sec   0.077 ms    1/ 4252 (0.024%)
18.0 Mbits/sec   0.062 ms    3/15314 (0.02%)
19.0 Mbits/sec   0.068 ms    1/16181 (0.0062%)
