4.00 Mbits/sec   0.032 ms    0/ 3403 (0%)
11.0 Mbits/sec   0.042 ms    0/ 9355 (0%)
11.0 Mbits/sec   0.076 ms    0/ 9355 (0%)
13.0 Mbits/sec   0.064 ms    1/11062 (0.009%)
12.0 Mbits/sec   0.123 ms    0/10204 (0%)
14.0 Mbits/sec   0.129 ms    0/11905 (0%)
8.00 Mbits/sec   0.068 ms    0/ 6803 (0%)
17.0 Mbits/sec   0.153 ms    1/14472 (0.0069%)
8.00 Mbits/sec   0.124 ms    0/ 6803 (0%)
6.00 Mbits/sec   0.065 ms    0/ 5102 (0%)
16.0 Mbits/sec   0.048 ms    0/13606 (0%)
11.0 Mbits/sec   0.049 ms    0/ 9355 (0%)
12.0 Mbits/sec   0.059 ms    1/10204 (0.0098%)
6.00 Mbits/sec   0.072 ms    0/ 5103 (0%)
17.0 Mbits/sec   0.070 ms    2/14472 (0.014%)
13.0 Mbits/sec   0.114 ms    1/11062 (0.009%)
0.01 Mbits/sec   0.037 ms    0/   11 (0%)
14.0 Mbits/sec   0.046 ms    0/11905 (0%)
13.0 Mbits/sec   0.045 ms    2/11062 (0.018%)
11.0 Mbits/sec   0.068 ms    0/ 9355 (0%)
8.00 Mbits/sec   0.033 ms    0/ 6803 (0%)
15.0 Mbits/sec   0.060 ms    2/12755 (0.016%)
8.00 Mbits/sec   0.098 ms    0/ 6804 (0%)
12.0 Mbits/sec   0.052 ms    0/10204 (0%)
11.0 Mbits/sec   0.044 ms    1/ 9355 (0.011%)
2.00 Mbits/sec   0.054 ms    0/ 1702 (0%)
15.0 Mbits/sec   0.068 ms    1/12755 (0.0078%)
21.0 Mbits/sec   0.042 ms    6/17857 (0.034%)
14.0 Mbits/sec   0.086 ms    2/11905 (0.017%)
10.0 Mbits/sec   0.044 ms    6/ 8504 (0.071%)
16.0 Mbits/sec   0.043 ms    0/13606 (0%)
6.00 Mbits/sec   0.044 ms    0/ 5102 (0%)
9.01 Mbits/sec   0.071 ms    0/ 7657 (0%)
15.0 Mbits/sec   0.047 ms    2/12755 (0.016%)
12.0 Mbits/sec   0.052 ms    0/10204 (0%)
11.0 Mbits/sec   0.069 ms    0/ 9355 (0%)
5.00 Mbits/sec   0.048 ms    0/ 4252 (0%)
8.00 Mbits/sec   0.052 ms    0/ 6803 (0%)
16.0 Mbits/sec   0.058 ms    2/13606 (0.015%)
12.0 Mbits/sec   0.082 ms    2/10204 (0.02%)
6.00 Mbits/sec   0.089 ms    0/ 5103 (0%)
8.00 Mbits/sec   0.058 ms    0/ 6803 (0%)
10.0 Mbits/sec   0.096 ms    0/ 8504 (0%)
5.00 Mbits/sec   0.080 ms    0/ 4252 (0%)
15.0 Mbits/sec   0.071 ms    1/12755 (0.0078%)
11.0 Mbits/sec   0.059 ms    0/ 9355 (0%)
14.0 Mbits/sec   0.088 ms    0/11905 (0%)
2.00 Mbits/sec   0.049 ms    0/ 1702 (0%)
15.0 Mbits/sec   0.098 ms    2/12755 (0.016%)
15.0 Mbits/sec   0.052 ms    0/12755 (0%)
7.00 Mbits/sec   0.038 ms    0/ 5953 (0%)
13.0 Mbits/sec   0.047 ms    0/11062 (0%)
14.0 Mbits/sec   0.087 ms    0/11905 (0%)
6.00 Mbits/sec   0.082 ms    0/ 5102 (0%)
14.0 Mbits/sec   0.051 ms    1/11905 (0.0084%)
17.0 Mbits/sec   0.088 ms    1/14472 (0.0069%)
6.00 Mbits/sec   0.060 ms    0/ 5102 (0%)
9.01 Mbits/sec   0.077 ms    0/ 7657 (0%)
9.01 Mbits/sec   0.439 ms    0/ 7657 (0%)
12.0 Mbits/sec   0.053 ms    1/10204 (0.0098%)
