7.69 Mbits/sec   0.117 ms  264/ 6804 (3.9%) 336.777/ 8.346/564.452/212.361 ms  653 pps
9.00 Mbits/sec   0.120 ms    0/ 7654 (0%) 11.125/ 8.419/15.595/ 1.933 ms  765 pps
7.00 Mbits/sec   0.173 ms    0/ 5954 (0%) 10.995/ 8.505/17.897/ 1.923 ms  595 pps
9.99 Mbits/sec   0.312 ms    0/ 8504 (0%) 11.511/ 8.607/16.413/ 1.854 ms  849 pps
8.00 Mbits/sec   0.220 ms    0/ 6804 (0%) 11.032/ 8.620/15.734/ 1.880 ms  680 pps
9.00 Mbits/sec   0.182 ms    0/ 7654 (0%) 10.907/ 8.701/15.485/ 2.096 ms  765 pps
3.99 Mbits/sec   0.444 ms    0/ 3403 (0%) 15.903/ 8.809/40.353/ 9.437 ms  339 pps
8.00 Mbits/sec   0.190 ms    0/ 6804 (0%) 10.961/ 8.862/16.257/ 1.964 ms  680 pps
7.00 Mbits/sec   0.243 ms    0/ 5954 (0%) 11.104/ 8.939/18.975/ 2.203 ms  595 pps
7.00 Mbits/sec   0.302 ms    0/ 5954 (0%) 10.970/ 9.039/23.221/ 1.987 ms  595 pps
10.0 Mbits/sec   0.329 ms    0/ 8505 (0%) 11.220/ 9.123/20.574/ 2.036 ms  850 pps
8.00 Mbits/sec   0.199 ms    0/ 6804 (0%) 11.565/ 9.228/17.120/ 1.985 ms  680 pps
11.0 Mbits/sec   0.188 ms    0/ 9355 (0%) 12.310/ 9.320/22.662/ 1.806 ms  935 pps
7.99 Mbits/sec   0.563 ms  626/ 7654 (8.2%) 341.384/ 9.409/605.905/231.243 ms  679 pps
9.41 Mbits/sec   0.145 ms  503/ 8505 (5.9%) 169.979/ 9.466/405.929/149.254 ms  800 pps
7.74 Mbits/sec   0.247 ms  220/ 6804 (3.2%) 193.457/ 9.591/518.842/181.245 ms  658 pps
5.66 Mbits/sec   0.590 ms  995/ 5954 (17%) 294.085/ 9.658/588.146/201.147 ms  481 pps
7.90 Mbits/sec   0.147 ms   81/ 6804 (1.2%) 222.379/ 9.708/551.995/200.614 ms  671 pps
10.0 Mbits/sec   0.180 ms    0/ 8505 (0%) 12.362/ 9.759/18.892/ 1.983 ms  850 pps
8.05 Mbits/sec   0.115 ms  807/ 7654 (11%) 215.947/ 9.864/471.162/195.192 ms  684 pps
10.5 Mbits/sec   0.289 ms  262/ 9355 (2.8%) 187.535/ 9.877/519.150/197.062 ms  890 pps
10.0 Mbits/sec   0.168 ms    0/ 8505 (0%) 12.847/ 9.982/23.584/ 1.828 ms  850 pps
8.78 Mbits/sec   0.240 ms    0/ 7654 (0%) 123.466/10.045/319.223/126.922 ms  746 pps
10.0 Mbits/sec   0.114 ms    0/ 8505 (0%) 12.504/10.067/19.191/ 1.960 ms  850 pps
6.71 Mbits/sec   0.685 ms  114/ 5954 (1.9%) 213.353/10.214/454.124/178.330 ms  570 pps
5.00 Mbits/sec   0.086 ms    0/ 4253 (0%) 12.665/10.259/15.969/ 1.953 ms  425 pps
8.00 Mbits/sec   0.156 ms    0/ 6804 (0%) 12.675/10.299/19.550/ 1.907 ms  680 pps
7.97 Mbits/sec   0.293 ms    0/ 6804 (0%) 34.211/10.366/120.638/32.999 ms  677 pps
11.1 Mbits/sec   0.233 ms  580/10205 (5.7%) 154.020/10.419/377.418/147.728 ms  947 pps
9.59 Mbits/sec   0.147 ms  348/ 8505 (4.1%) 118.809/10.513/400.155/154.159 ms  815 pps
10.0 Mbits/sec   0.204 ms    0/ 8505 (0%) 13.412/10.610/19.576/ 1.999 ms  850 pps
6.95 Mbits/sec   0.408 ms  892/ 6804 (13%) 226.648/10.679/476.275/183.968 ms  590 pps
7.00 Mbits/sec   0.093 ms    0/ 5954 (0%) 13.101/10.758/21.665/ 1.994 ms  595 pps
