    3/ 5104 (0.059%) -318.053/-318.525/-316.709/ 4.455 
    0/ 6804 (0%) -316.893/-317.425/-315.608/ 3.849 
    0/ 4253 (0%) -315.820/-316.326/-315.107/ 4.852 
    0/ 4253 (0%) -314.778/-315.306/-314.241/ 4.834 
    0/ 6804 (0%) -313.782/-314.307/-312.922/ 3.809 
    0/ 5104 (0%) -312.736/-313.243/-312.166/ 4.388 
    0/ 4253 (0%) -311.175/-311.697/-310.103/ 4.780 
    0/ 2553 (0%) -310.163/-310.685/-309.695/ 6.148 
    1/ 6804 (0.015%) -309.140/-309.701/-306.271/ 3.758 
    0/ 6804 (0%) -308.163/-308.703/-306.831/ 3.743 
    0/ 5954 (0%) -307.148/-307.690/-306.010/ 3.990 
    0/ 9355 (0%) -306.168/-306.688/-303.117/ 3.173 
    1/ 5954 (0.017%) -304.604/-305.175/-304.027/ 3.955 
    0/ 3403 (0%) -303.592/-304.172/-303.015/ 5.211 
    0/ 5954 (0%) -302.592/-303.169/-301.479/ 3.933 
    0/ 5104 (0%) -301.609/-302.069/-300.974/ 4.226 
    0/ 9355 (0%) -300.608/-301.118/-298.015/ 3.116 
    0/ 3403 (0%) -299.631/-300.119/-298.255/ 5.141 
    0/ 6804 (0%) -298.068/-298.581/-297.223/ 3.622 
    0/ 4253 (0%) -297.054/-297.559/-296.498/ 4.561 
    0/ 4253 (0%) -296.087/-296.576/-295.408/ 4.546 
    0/ 1702 (0%) -295.049/-295.597/-294.570/ 7.163 
    0/ 7655 (0%) -294.028/-294.563/-291.010/ 3.368 
    1/ 5954 (0.017%) -293.028/-293.533/-292.051/ 3.804 
    0/ 3403 (0%) -291.228/-291.727/-290.663/ 5.003 
    0/ 5954 (0%) -290.178/-290.708/-288.839/ 3.768 
    0/ 5954 (0%) -289.091/-289.639/-287.425/ 3.754 
    0/ 5954 (0%) -288.039/-288.557/-287.126/ 3.740 
    0/ 5954 (0%) -287.043/-287.602/-284.892/ 3.728 
    0/ 6804 (0%) -286.050/-286.640/-284.797/ 3.476 
    0/ 5104 (0%) -284.476/-284.997/-283.007/ 3.988 
    0/ 7655 (0%) -283.530/-284.078/-280.299/ 3.251 
    0/ 4253 (0%) -282.533/-283.077/-281.820/ 4.344 
    0/ 6804 (0%) -281.514/-282.050/-279.309/ 3.421 
    0/ 6804 (0%) -280.453/-281.012/-277.736/ 3.409 
    0/ 6804 (0%) -279.412/-279.947/-278.067/ 3.394 
    0/ 5104 (0%) -277.838/-278.417/-276.649/ 3.895 
    0/ 6804 (0%) -276.852/-277.419/-275.949/ 3.366 
    0/ 7655 (0%) -275.771/-276.330/-273.785/ 3.161 
    0/ 2553 (0%) -274.713/-275.188/-273.970/ 5.445 
    0/ 5104 (0%) -273.747/-274.332/-272.275/ 3.839 
    0/ 7655 (0%) -272.686/-273.240/-269.874/ 3.122 
    0/ 4253 (0%) -271.105/-271.608/-269.755/ 4.168 
    0/ 5104 (0%) -270.087/-270.601/-269.504/ 3.791 
    0/ 6804 (0%) -269.103/-269.644/-266.901/ 3.272 
    0/ 5954 (0%) -268.037/-268.603/-266.351/ 3.480 
    0/ 5104 (0%) -267.015/-267.566/-266.077/ 3.744 
    0/10204 (0%) -265.942/-266.479/-263.960/ 2.641 
    0/ 5104 (0%) -264.409/-264.960/-262.184/ 3.709 
    0/ 6804 (0%) -263.390/-263.936/-259.828/ 3.201 
    0/ 4253 (0%) -262.394/-262.891/-261.914/ 4.033 
    0/ 7655 (0%) -261.335/-261.904/-259.395/ 2.995 
    0/ 5954 (0%) -260.376/-260.896/-257.750/ 3.381 
    0/ 5954 (0%) -259.326/-259.827/-258.223/ 3.372 
    0/ 4253 (0%) -257.757/-258.279/-256.861/ 3.959 
    0/ 6804 (0%) -256.764/-257.282/-254.731/ 3.123 
    0/ 4253 (0%) -255.775/-256.300/-254.253/ 3.929 
    0/ 6804 (0%) -254.750/-255.336/-252.944/ 3.099 
    0/ 5104 (0%) -253.741/-254.272/-252.751/ 3.559 
    0/ 6804 (0%) -252.705/-253.228/-251.523/ 3.072 
    0/ 4253 (0%) -251.116/-251.655/-249.048/ 3.860 
    0/ 7655 (0%) -250.148/-250.681/-245.241/ 2.872 
    0/ 1702 (0%) -249.140/-249.678/-248.683/ 6.052 
    0/ 5954 (0%) -248.182/-248.698/-246.833/ 3.221 
    0/ 5104 (0%) -247.143/-247.728/-245.407/ 3.469 
    0/ 6804 (0%) -246.035/-246.617/-244.125/ 2.992 
    0/ 4253 (0%) -244.495/-245.052/-243.771/ 3.758 
    0/ 5102 (0%) -243.490/-244.005/-242.288/ 3.419 
    0/ 2553 (0%) -242.480/-242.948/-241.966/ 4.805 
    0/ 4253 (0%) -241.498/-241.911/-240.435/ 3.709 
    0/ 5104 (0%) -240.413/-240.948/-239.120/ 3.372 
    0/ 4253 (0%) -239.409/-239.926/-238.359/ 3.679 
    0/ 5954 (0%) -237.821/-238.324/-235.209/ 3.092 
    0/ 8505 (0%) -236.765/-237.318/-234.797/ 2.577 
    0/ 5954 (0%) -235.752/-236.240/-233.645/ 3.066 
    0/ 3403 (0%) -234.770/-235.209/-233.339/ 4.031 
    0/ 7655 (0%) -233.668/-234.251/-230.714/ 2.678 
    0/ 5104 (0%) -232.691/-233.248/-231.726/ 3.267 
    0/ 3403 (0%) -231.083/-231.695/-230.423/ 3.969 
    0/ 7655 (0%) -230.076/-230.611/-227.909/ 2.637 
    0/ 9355 (0%) -229.032/-229.595/-226.954/ 2.376 
    0/ 6804 (0%) -227.978/-228.527/-224.680/ 2.773 
    0/ 4253 (0%) -226.922/-227.438/-224.782/ 3.491 
    0/ 6804 (0%) -225.945/-226.456/-224.248/ 2.747 
    0/ 5104 (0%) -224.399/-224.909/-222.858/ 3.142 
    0/ 5954 (0%) -223.365/-223.932/-221.782/ 2.905 
    0/ 8505 (0%) -222.370/-222.985/-220.525/ 2.423 
    0/ 7655 (0%) -221.360/-221.953/-219.691/ 2.538 
    0/ 7655 (0%) -220.312/-220.809/-218.667/ 2.526 
    0/ 4253 (0%) -219.335/-219.885/-217.878/ 3.370 
    0/ 5104 (0%) -217.761/-218.300/-216.896/ 3.058 
    1/ 9355 (0.011%) -216.770/-217.310/-214.938/ 2.250 
    0/ 5954 (0%) -215.746/-216.309/-214.089/ 2.802 
    0/ 5104 (0%) -214.665/-215.174/-212.407/ 3.013 
