12.0 Mbits/sec   0.108 ms    0/10205 (0%) -/-/-/- ms 1020 pps
10.0 Mbits/sec   0.094 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
7.00 Mbits/sec   0.100 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
9.00 Mbits/sec   0.107 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
9.00 Mbits/sec   0.122 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
10.0 Mbits/sec   0.143 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
9.00 Mbits/sec   0.105 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
11.0 Mbits/sec   0.127 ms    0/ 9355 (0%) -/-/-/- ms  935 pps
10.0 Mbits/sec   0.090 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
9.00 Mbits/sec   0.121 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
9.00 Mbits/sec   0.110 ms    0/ 7654 (0%) -/-/-/- ms  765 pps
9.00 Mbits/sec   0.089 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
8.00 Mbits/sec   0.106 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
9.00 Mbits/sec   0.086 ms    0/ 7654 (0%) -/-/-/- ms  765 pps
10.0 Mbits/sec   0.120 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
9.00 Mbits/sec   0.076 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
12.0 Mbits/sec   0.107 ms    0/10206 (0%) -/-/-/- ms 1020 pps
8.00 Mbits/sec   0.103 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
10.0 Mbits/sec   0.110 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
10.0 Mbits/sec   0.114 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
9.00 Mbits/sec   0.081 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
12.0 Mbits/sec   0.097 ms    0/10206 (0%) -/-/-/- ms 1020 pps
9.00 Mbits/sec   0.087 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
9.00 Mbits/sec   0.092 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
9.00 Mbits/sec   0.105 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
9.00 Mbits/sec   0.126 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
10.0 Mbits/sec   0.125 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
9.00 Mbits/sec   0.147 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
11.0 Mbits/sec   0.106 ms    0/ 9355 (0%) -/-/-/- ms  935 pps
11.0 Mbits/sec   0.114 ms    0/ 9355 (0%) -/-/-/- ms  935 pps
11.0 Mbits/sec   0.097 ms    0/ 9355 (0%) -/-/-/- ms  935 pps
9.00 Mbits/sec   0.115 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
11.0 Mbits/sec   0.138 ms    0/ 9355 (0%) -/-/-/- ms  935 pps
9.00 Mbits/sec   0.105 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
9.00 Mbits/sec   0.086 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
9.00 Mbits/sec   0.073 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
10.0 Mbits/sec   0.080 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
8.00 Mbits/sec   0.154 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
8.00 Mbits/sec   0.124 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
8.00 Mbits/sec   0.118 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
