    0/10205 (0%) -/-/-/- 
    0/ 8505 (0%) -/-/-/- 
    0/ 5954 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 8505 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 9355 (0%) -/-/-/- 
    0/ 8505 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 7654 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 6804 (0%) -/-/-/- 
    0/ 7654 (0%) -/-/-/- 
    0/ 8505 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/10206 (0%) -/-/-/- 
    0/ 6804 (0%) -/-/-/- 
    0/ 8505 (0%) -/-/-/- 
    0/ 8505 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/10206 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 8505 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 9355 (0%) -/-/-/- 
    0/ 9355 (0%) -/-/-/- 
    0/ 9355 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 9355 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 8505 (0%) -/-/-/- 
    0/ 6804 (0%) -/-/-/- 
    0/ 6804 (0%) -/-/-/- 
    0/ 6804 (0%) -/-/-/- 
    0/ 7654 (0%) -/-/-/- 
  388/ 7655 (5.1%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 8505 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 9355 (0%) -/-/-/- 
    0/ 8505 (0%) -/-/-/- 
    0/ 8505 (0%) -/-/-/- 
    0/ 6804 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 7654 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 8505 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 8505 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 8505 (0%) -/-/-/- 
    0/ 8505 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 8505 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 6804 (0%) -/-/-/- 
    0/10206 (0%) -/-/-/- 
    0/ 8505 (0%) -/-/-/- 
    0/ 9355 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 9355 (0%) -/-/-/- 
    0/ 9355 (0%) -/-/-/- 
    0/ 8505 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 8505 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
  429/ 8505 (5%) -/-/-/- 
    0/ 8505 (0%) -/-/-/- 
    0/ 8505 (0%) -/-/-/- 
    0/ 8505 (0%) -/-/-/- 
 3212/ 6812 (47%) -/-/-/- 
    0/ 6804 (0%) -/-/-/- 
    0/10206 (0%) -/-/-/- 
    0/ 8505 (0%) -/-/-/- 
    0/ 8505 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 8505 (0%) -/-/-/- 
    0/ 8505 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 6804 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 7655 (0%) -/-/-/- 
    0/ 7654 (0%) -/-/-/- 
    0/ 8505 (0%) -/-/-/- 
    0/ 8505 (0%) -/-/-/- 
