12.0 Mbits/sec   0.097 ms    0/10206 (0%) 302.998/301.362/311.493/ 3.259 ms 1020 pps
7.00 Mbits/sec   0.065 ms    0/ 5954 (0%) 303.135/302.594/310.855/ 3.933 ms  595 pps
12.0 Mbits/sec   0.079 ms    0/10204 (0%) 304.434/303.873/306.830/ 3.018 ms 1020 pps
10.0 Mbits/sec   0.076 ms    0/ 8505 (0%) 305.661/305.162/309.575/ 3.318 ms  850 pps
9.00 Mbits/sec   0.078 ms    0/ 7654 (0%) 306.907/306.362/310.524/ 3.512 ms  765 pps
7.00 Mbits/sec   0.114 ms    0/ 5954 (0%) 308.136/307.583/319.332/ 4.002 ms  595 pps
6.00 Mbits/sec   0.124 ms    0/ 5104 (0%) 310.248/309.625/314.485/ 4.346 ms  510 pps
6.00 Mbits/sec   0.918 ms    0/ 5104 (0%) 311.480/310.854/322.063/ 4.377 ms  510 pps
9.00 Mbits/sec   0.151 ms    0/ 7655 (0%) 312.652/311.997/314.512/ 3.577 ms  765 pps
9.00 Mbits/sec   0.099 ms    0/ 7655 (0%) 313.797/313.267/317.479/ 3.590 ms  765 pps
5.00 Mbits/sec   0.066 ms    0/ 4253 (0%) 315.082/314.449/319.836/ 4.836 ms  425 pps
10.0 Mbits/sec   0.033 ms    0/ 8505 (0%) 316.326/315.632/338.814/ 3.511 ms  850 pps
7.00 Mbits/sec   0.103 ms    0/ 5954 (0%) 318.033/317.452/321.922/ 4.129 ms  595 pps
11.0 Mbits/sec   0.158 ms    0/ 9354 (0%) 319.550/318.953/330.090/ 3.319 ms  935 pps
6.00 Mbits/sec   0.133 ms    0/ 5104 (0%) 320.744/320.190/323.456/ 4.490 ms  510 pps
10.0 Mbits/sec   0.120 ms    0/ 8505 (0%) 322.027/321.377/329.728/ 3.507 ms  850 pps
9.00 Mbits/sec   0.097 ms    0/ 7655 (0%) 323.169/322.538/329.115/ 3.699 ms  765 pps
11.0 Mbits/sec   0.056 ms    0/ 9355 (0%) 324.405/323.813/331.563/ 3.368 ms  935 pps
10.0 Mbits/sec   0.105 ms    0/ 8505 (0%) 326.191/325.544/329.093/ 3.542 ms  850 pps
8.00 Mbits/sec   0.120 ms    0/ 6804 (0%) 327.305/326.697/330.523/ 3.970 ms  680 pps
9.00 Mbits/sec   0.138 ms    0/ 7654 (0%) 328.555/327.898/333.777/ 3.761 ms  765 pps
10.0 Mbits/sec   0.120 ms    0/ 8505 (0%) 329.701/329.086/333.385/ 3.578 ms  850 pps
6.00 Mbits/sec   0.178 ms    0/ 5102 (0%) 330.974/330.436/335.394/ 4.636 ms  510 pps
9.00 Mbits/sec   0.118 ms    0/ 7655 (0%) 332.174/331.517/348.312/ 3.847 ms  765 pps
9.00 Mbits/sec   0.128 ms    0/ 7655 (0%) 333.912/333.334/337.022/ 3.820 ms  765 pps
6.00 Mbits/sec   0.105 ms    0/ 5104 (0%) 335.186/334.559/338.229/ 4.693 ms  510 pps
10.0 Mbits/sec   0.141 ms    0/ 8505 (0%) 336.414/335.822/338.979/ 3.651 ms  850 pps
5.00 Mbits/sec   0.103 ms    0/ 4253 (0%) 337.660/337.065/341.381/ 5.181 ms  425 pps
9.00 Mbits/sec   0.131 ms    0/ 7655 (0%) 338.840/338.260/343.128/ 3.876 ms  765 pps
