    0/10205 (0%) 5149.627/5149.003/5156.413/50.975 
    0/ 5104 (0%) 5151.380/5150.753/5154.797/72.108 
    0/ 6804 (0%) 5153.129/5152.554/5158.558/62.472 
    0/ 8505 (0%) 5154.803/5154.187/5161.222/55.896 
    0/ 5104 (0%) 5156.363/5155.768/5160.516/72.180 
    1/ 5103 (0.02%) 5158.052/5157.421/5162.898/72.216 
    0/ 6804 (0%) 5160.426/5159.840/5167.023/62.565 
    0/ 5104 (0%) 5161.973/5161.332/5166.131/72.258 
    0/ 5102 (0%) 5163.576/5162.975/5168.140/72.291 
    0/ 5954 (0%) 5165.233/5164.630/5168.628/66.944 
    0/ 8505 (0%) 5166.896/5166.287/5171.058/56.031 
    0/ 6804 (0%) 5168.464/5167.825/5172.862/62.661 
    0/ 6804 (0%) 5170.960/5170.342/5175.816/62.690 
    0/ 6804 (0%) 5172.542/5171.942/5179.391/62.711 
    0/ 5954 (0%) 5174.144/5173.489/5181.413/67.056 
    0/ 7655 (0%) 5175.783/5175.111/5178.816/59.157 
    0/ 4253 (0%) 5177.435/5176.768/5183.780/79.396 
    0/ 9355 (0%) 5179.018/5178.386/5187.016/53.545 
    0/ 6804 (0%) 5181.494/5180.850/5187.098/62.819 
    0/ 3403 (0%) 5183.077/5182.481/5185.517/88.860 
    0/ 4253 (0%) 5184.668/5184.100/5188.310/79.505 
    0/ 7655 (0%) 5186.261/5185.602/5191.466/59.275 
    0/ 4253 (0%) 5187.967/5187.370/5194.234/79.557 
    0/ 8505 (0%) 5189.573/5188.892/5194.124/56.273 
    0/ 5954 (0%) 5192.002/5191.366/5195.293/67.288 
    0/ 6804 (0%) 5193.685/5192.999/5198.456/62.965 
    0/ 7655 (0%) 5195.318/5194.670/5202.385/59.381 
    0/ 7655 (0%) 5196.877/5196.194/5202.771/59.400 
    0/ 5104 (0%) 5198.464/5197.771/5202.786/72.765 
    0/ 9355 (0%) 5200.145/5199.440/5205.037/53.761 
    0/ 8505 (0%) 5202.609/5201.935/5209.327/56.412 
    0/ 6804 (0%) 5204.250/5203.581/5209.252/63.093 
    0/ 3403 (0%) 5205.818/5205.190/5208.992/89.246 
    0/ 5104 (0%) 5207.534/5206.847/5210.186/72.894 
    0/ 5954 (0%) 5209.113/5208.468/5215.757/67.512 
    0/ 5954 (0%) 5210.840/5210.207/5217.146/67.532 
    0/ 3403 (0%) 5213.310/5212.728/5218.562/89.376 
    0/ 7655 (0%) 5214.880/5214.148/5221.465/59.602 
    0/ 5954 (0%) 5216.486/5215.792/5223.648/67.607 
    0/ 5954 (0%) 5218.134/5217.481/5223.426/67.627 
    0/ 4253 (0%) 5219.708/5219.079/5226.691/80.043 
    0/ 9355 (0%) 5221.291/5220.605/5227.579/53.983 
    0/ 6804 (0%) 5223.722/5223.001/5229.680/63.331 
    1/ 6804 (0.015%) 5225.285/5224.604/5229.515/63.351 
    0/ 3403 (0%) 5227.171/5226.568/5231.234/89.612 
    0/10206 (0%) 5228.891/5228.217/5235.942/51.760 
    0/ 9355 (0%) 5230.480/5229.819/5234.529/54.078 
    0/ 6804 (0%) 5232.194/5231.506/5239.197/63.431 
    0/ 8505 (0%) 5234.676/5234.009/5241.781/56.761 
    0/ 7655 (0%) 5236.301/5235.679/5243.510/59.850 
    0/ 5954 (0%) 5238.058/5237.373/5242.731/67.885 
    0/ 8505 (0%) 5239.616/5238.933/5246.575/56.817 
    0/ 6804 (0%) 5241.213/5240.515/5246.141/63.539 
    0/ 5104 (0%) 5243.181/5242.561/5247.236/73.392 
    0/ 3403 (0%) 5245.635/5244.991/5249.732/89.928 
    0/ 5104 (0%) 5247.196/5246.576/5250.634/73.448 
    0/ 3403 (0%) 5248.875/5248.258/5252.416/89.983 
    0/ 7655 (0%) 5250.862/5250.210/5256.641/60.014 
    0/ 6804 (0%) 5252.470/5251.810/5258.519/63.678 
    0/ 6804 (0%) 5254.056/5253.403/5259.035/63.697 
    0/ 3403 (0%) 5256.467/5255.779/5260.317/90.113 
    0/ 5104 (0%) 5258.103/5257.443/5262.213/73.600 
    0/ 7655 (0%) 5259.685/5259.042/5264.675/60.117 
    0/ 4253 (0%) 5261.239/5260.635/5268.925/80.680 
    0/ 5954 (0%) 5262.862/5262.223/5267.678/68.207 
    0/ 5104 (0%) 5264.506/5263.858/5269.832/73.694 
