7.45 Mbits/sec   3.857 ms    0/ 6368 (0%) 74.256/ 5.801/179.751/24.036 ms  633 pps
5.00 Mbits/sec   0.117 ms    0/ 4253 (0%)  6.053/ 5.716/12.746/ 0.245 ms  425 pps
8.00 Mbits/sec   0.088 ms    0/ 6804 (0%)  6.028/ 5.700/12.476/ 0.242 ms  680 pps
10.0 Mbits/sec   0.112 ms    0/ 8505 (0%)  6.001/ 5.674/ 9.771/ 0.213 ms  850 pps
6.00 Mbits/sec   0.070 ms    0/ 5104 (0%)  5.927/ 5.672/11.701/ 0.174 ms  510 pps
9.00 Mbits/sec   0.080 ms    0/ 7654 (0%)  6.053/ 5.635/13.819/ 0.246 ms  765 pps
9.00 Mbits/sec   0.085 ms    0/ 7655 (0%)  5.887/ 5.584/11.567/ 0.205 ms  765 pps
6.00 Mbits/sec   0.120 ms    0/ 5101 (0%)  5.851/ 5.564/ 9.735/ 0.205 ms  510 pps
11.0 Mbits/sec   0.140 ms    0/ 9355 (0%)  5.826/ 5.533/10.555/ 0.169 ms  935 pps
12.0 Mbits/sec   0.100 ms    0/10205 (0%)  5.810/ 5.485/10.900/ 0.217 ms 1020 pps
11.0 Mbits/sec   0.295 ms    0/ 9355 (0%)  5.769/ 5.450/11.449/ 0.242 ms  935 pps
8.00 Mbits/sec   0.071 ms    0/ 6804 (0%)  5.734/ 5.424/ 8.983/ 0.151 ms  680 pps
10.0 Mbits/sec   0.135 ms    0/ 8505 (0%)  5.664/ 5.381/12.201/ 0.271 ms  850 pps
7.00 Mbits/sec   0.085 ms    0/ 5954 (0%)  5.661/ 5.362/12.773/ 0.211 ms  595 pps
7.00 Mbits/sec   0.123 ms    0/ 5954 (0%)  5.592/ 5.326/11.137/ 0.192 ms  595 pps
10.0 Mbits/sec   0.179 ms    0/ 8505 (0%)  5.655/ 5.328/ 8.989/ 0.129 ms  850 pps
6.00 Mbits/sec   0.098 ms    0/ 5103 (0%)  5.502/ 5.271/11.259/ 0.186 ms  510 pps
