8.57 Mbits/sec   1.022 ms    0/ 7295 (0%) 67.441/15.089/165.277/27.961 ms  728 pps
7.00 Mbits/sec   0.137 ms    0/ 5954 (0%)  6.069/ 5.720/13.056/ 0.266 ms  595 pps
7.00 Mbits/sec   0.109 ms    0/ 5954 (0%)  6.013/ 5.700/ 8.532/ 0.199 ms  595 pps
9.00 Mbits/sec   0.091 ms    0/ 7655 (0%)  6.009/ 5.698/ 8.399/ 0.190 ms  765 pps
8.00 Mbits/sec   0.140 ms    0/ 6804 (0%)  5.991/ 5.685/ 8.674/ 0.150 ms  680 pps
9.00 Mbits/sec   0.079 ms    0/ 7654 (0%)  5.996/ 5.667/10.176/ 0.210 ms  765 pps
9.00 Mbits/sec   0.145 ms    0/ 7655 (0%)  5.937/ 5.602/ 9.197/ 0.157 ms  765 pps
11.0 Mbits/sec   0.169 ms    0/ 9355 (0%)  5.846/ 5.552/12.011/ 0.282 ms  935 pps
11.0 Mbits/sec   0.085 ms    0/ 9355 (0%)  5.906/ 5.526/10.831/ 0.159 ms  935 pps
8.00 Mbits/sec   0.241 ms    0/ 6804 (0%)  5.776/ 5.496/ 9.483/ 0.183 ms  680 pps
7.00 Mbits/sec   0.103 ms    0/ 5954 (0%)  5.755/ 5.461/11.661/ 0.251 ms  595 pps
7.00 Mbits/sec   0.086 ms    0/ 5954 (0%)  5.725/ 5.434/ 8.641/ 0.142 ms  595 pps
12.0 Mbits/sec   0.089 ms    0/10206 (0%)  5.731/ 5.400/12.296/ 0.297 ms 1020 pps
6.00 Mbits/sec   0.088 ms    0/ 5103 (0%)  5.644/ 5.365/12.741/ 0.221 ms  510 pps
4.00 Mbits/sec   0.112 ms    0/ 3403 (0%)  5.631/ 5.330/10.676/ 0.201 ms  340 pps
7.00 Mbits/sec   0.144 ms    0/ 5954 (0%)  5.570/ 5.280/11.234/ 0.178 ms  595 pps
9.00 Mbits/sec   0.113 ms    0/ 7654 (0%)  5.586/ 5.263/ 7.104/ 0.135 ms  765 pps
8.00 Mbits/sec   0.095 ms    0/ 6804 (0%)  5.550/ 5.238/ 9.270/ 0.168 ms  680 pps
9.00 Mbits/sec   0.115 ms    0/ 7654 (0%)  5.503/ 5.169/ 8.468/ 0.150 ms  765 pps
7.00 Mbits/sec   0.147 ms    0/ 5954 (0%)  5.474/ 5.168/ 8.399/ 0.159 ms  595 pps
8.00 Mbits/sec   0.097 ms    0/ 6804 (0%)  5.459/ 5.133/ 9.512/ 0.205 ms  680 pps
7.00 Mbits/sec   0.116 ms    0/ 5954 (0%)  5.417/ 5.098/10.792/ 0.210 ms  595 pps
8.00 Mbits/sec   0.131 ms    0/ 6804 (0%)  5.365/ 5.059/11.089/ 0.202 ms  680 pps
9.00 Mbits/sec   0.094 ms    0/ 7654 (0%)  5.353/ 5.025/10.280/ 0.206 ms  765 pps
6.00 Mbits/sec   0.126 ms    0/ 5104 (0%)  5.328/ 4.981/11.650/ 0.272 ms  510 pps
11.0 Mbits/sec   0.088 ms    0/ 9355 (0%)  5.277/ 4.959/10.582/ 0.214 ms  935 pps
9.00 Mbits/sec   0.085 ms    0/ 7655 (0%)  5.218/ 4.901/ 8.237/ 0.145 ms  765 pps
4.00 Mbits/sec   0.100 ms    0/ 3403 (0%)  5.160/ 4.904/11.883/ 0.202 ms  340 pps
8.00 Mbits/sec   0.083 ms    0/ 6804 (0%)  5.184/ 4.857/14.685/ 0.337 ms  680 pps
11.0 Mbits/sec   0.090 ms    0/ 9355 (0%)  5.096/ 4.829/ 6.722/ 0.124 ms  935 pps
8.00 Mbits/sec   0.100 ms    0/ 6804 (0%)  5.078/ 4.796/ 8.758/ 0.153 ms  680 pps
11.0 Mbits/sec   0.100 ms    0/ 9355 (0%)  5.041/ 4.752/10.790/ 0.174 ms  935 pps
12.0 Mbits/sec   0.122 ms    0/10206 (0%)  5.032/ 4.728/13.031/ 0.205 ms 1020 pps
9.00 Mbits/sec   0.080 ms    0/ 7655 (0%)  4.931/ 4.681/ 6.140/ 0.118 ms  765 pps
8.00 Mbits/sec   0.100 ms    0/ 6804 (0%)  4.974/ 4.684/13.088/ 0.251 ms  680 pps
6.00 Mbits/sec   0.078 ms    0/ 5104 (0%)  4.927/ 4.658/ 9.707/ 0.176 ms  510 pps
6.00 Mbits/sec   0.140 ms    0/ 5103 (0%)  4.878/ 4.587/10.731/ 0.183 ms  510 pps
8.00 Mbits/sec   0.103 ms    0/ 6804 (0%)  4.868/ 4.585/12.196/ 0.256 ms  680 pps
8.00 Mbits/sec   0.075 ms    0/ 6804 (0%)  4.821/ 4.546/ 6.720/ 0.118 ms  680 pps
3.00 Mbits/sec   0.078 ms    0/ 2552 (0%)  4.794/ 4.523/ 7.890/ 0.157 ms  255 pps
9.00 Mbits/sec   0.098 ms    0/ 7655 (0%)  4.792/ 4.498/11.774/ 0.268 ms  765 pps
10.0 Mbits/sec   0.116 ms    0/ 8505 (0%)  4.779/ 4.482/10.237/ 0.196 ms  850 pps
10.0 Mbits/sec   0.131 ms    0/ 8505 (0%)  4.744/ 4.428/ 6.991/ 0.148 ms  850 pps
12.0 Mbits/sec   0.123 ms    0/10206 (0%)  4.722/ 4.410/ 7.688/ 0.151 ms 1020 pps
5.00 Mbits/sec   0.110 ms    0/ 4253 (0%)  4.683/ 4.387/ 8.687/ 0.220 ms  425 pps
8.00 Mbits/sec   0.106 ms    0/ 6804 (0%)  4.688/ 4.352/10.257/ 0.202 ms  680 pps
7.00 Mbits/sec   0.094 ms    0/ 5954 (0%)  4.613/ 4.317/10.765/ 0.185 ms  595 pps
7.00 Mbits/sec   0.103 ms    0/ 5954 (0%)  4.606/ 4.310/ 9.043/ 0.170 ms  595 pps
13.0 Mbits/sec   0.236 ms    0/11056 (0%)  4.608/ 4.291/12.809/ 0.255 ms 1105 pps
8.00 Mbits/sec   0.108 ms    0/ 6804 (0%)  4.561/ 4.246/ 7.677/ 0.194 ms  680 pps
10.0 Mbits/sec   0.128 ms    0/ 8505 (0%)  4.555/ 4.225/12.491/ 0.266 ms  850 pps
10.0 Mbits/sec   0.266 ms    0/ 8505 (0%)  4.530/ 4.204/10.020/ 0.195 ms  850 pps
8.00 Mbits/sec   0.096 ms    0/ 6804 (0%)  4.492/ 4.185/ 9.186/ 0.190 ms  680 pps
9.00 Mbits/sec   0.068 ms    0/ 7654 (0%)  4.527/ 4.215/ 9.235/ 0.155 ms  765 pps
8.00 Mbits/sec   0.087 ms    0/ 6804 (0%)  4.611/ 4.140/15.224/ 0.711 ms  680 pps
13.0 Mbits/sec   0.100 ms    0/11056 (0%)  4.402/ 4.101/ 8.606/ 0.168 ms 1105 pps
9.00 Mbits/sec   0.130 ms    0/ 7654 (0%)  4.399/ 4.088/ 7.523/ 0.166 ms  765 pps
11.0 Mbits/sec   0.094 ms    0/ 9355 (0%)  4.409/ 4.058/10.048/ 0.273 ms  935 pps
9.00 Mbits/sec   0.083 ms    0/ 7654 (0%)  4.322/ 4.043/ 7.216/ 0.160 ms  765 pps
8.00 Mbits/sec   0.143 ms    0/ 6804 (0%)  4.298/ 4.027/ 6.995/ 0.143 ms  680 pps
7.00 Mbits/sec   0.089 ms    0/ 5954 (0%)  4.469/ 4.039/17.041/ 0.477 ms  595 pps
10.0 Mbits/sec   0.138 ms    0/ 8505 (0%)  4.290/ 3.990/ 8.784/ 0.205 ms  850 pps
10.0 Mbits/sec   0.101 ms    0/ 8505 (0%)  4.291/ 3.959/12.439/ 0.306 ms  850 pps
7.00 Mbits/sec   0.221 ms    0/ 5954 (0%)  4.218/ 3.940/ 6.874/ 0.141 ms  595 pps
10.0 Mbits/sec   0.177 ms    0/ 8505 (0%)  4.232/ 3.916/ 8.096/ 0.163 ms  850 pps
9.00 Mbits/sec   0.117 ms    0/ 7655 (0%)  4.201/ 3.889/11.581/ 0.230 ms  765 pps
8.00 Mbits/sec   0.195 ms    0/ 6804 (0%)  4.265/ 3.858/14.834/ 0.529 ms  680 pps
7.00 Mbits/sec   0.075 ms    0/ 5954 (0%)  4.171/ 3.847/11.898/ 0.289 ms  595 pps
7.00 Mbits/sec   0.134 ms    0/ 5954 (0%)  4.170/ 3.847/14.132/ 0.313 ms  595 pps
6.00 Mbits/sec   0.110 ms    0/ 5104 (0%)  4.130/ 3.809/ 7.980/ 0.192 ms  510 pps
8.00 Mbits/sec   0.066 ms    0/ 6804 (0%)  4.100/ 3.830/ 8.318/ 0.163 ms  680 pps
10.0 Mbits/sec   0.111 ms    0/ 8505 (0%)  4.086/ 3.779/ 8.404/ 0.201 ms  850 pps
8.00 Mbits/sec   0.090 ms    0/ 6804 (0%)  4.092/ 3.761/14.289/ 0.512 ms  680 pps
11.0 Mbits/sec   0.106 ms    0/ 9355 (0%)  4.065/ 3.741/13.431/ 0.214 ms  935 pps
10.0 Mbits/sec   0.180 ms    0/ 8505 (0%)  4.048/ 3.721/ 7.738/ 0.187 ms  850 pps
8.00 Mbits/sec   0.119 ms    0/ 6804 (0%)  4.013/ 3.735/11.711/ 0.242 ms  680 pps
10.0 Mbits/sec   0.094 ms    0/ 8505 (0%)  4.025/ 3.686/ 9.805/ 0.193 ms  850 pps
11.0 Mbits/sec   0.140 ms    0/ 9355 (0%)  3.969/ 3.674/ 6.909/ 0.146 ms  935 pps
7.00 Mbits/sec   0.119 ms    0/ 5954 (0%)  3.982/ 3.656/13.208/ 0.422 ms  595 pps
10.0 Mbits/sec   0.106 ms    0/ 8505 (0%)  3.955/ 3.653/ 6.923/ 0.134 ms  850 pps
7.00 Mbits/sec   0.122 ms    0/ 5954 (0%)  3.961/ 3.596/10.261/ 0.297 ms  595 pps
11.0 Mbits/sec   0.163 ms    0/ 9355 (0%)  3.908/ 3.586/10.802/ 0.210 ms  935 pps
8.00 Mbits/sec   0.151 ms    0/ 6804 (0%)  3.901/ 3.594/ 9.485/ 0.219 ms  680 pps
8.00 Mbits/sec   0.119 ms    0/ 6804 (0%)  3.892/ 3.577/10.700/ 0.237 ms  680 pps
9.00 Mbits/sec   0.113 ms    0/ 7655 (0%)  3.873/ 3.549/11.412/ 0.280 ms  765 pps
5.00 Mbits/sec   0.164 ms    0/ 4253 (0%)  3.850/ 3.542/ 6.734/ 0.170 ms  425 pps
10.0 Mbits/sec   0.152 ms    0/ 8503 (0%)  3.871/ 3.531/10.486/ 0.219 ms  850 pps
8.00 Mbits/sec   0.139 ms    0/ 6804 (0%)  3.802/ 3.495/ 8.752/ 0.213 ms  680 pps
8.00 Mbits/sec   0.112 ms    0/ 6804 (0%)  3.806/ 3.497/ 8.461/ 0.224 ms  680 pps
8.00 Mbits/sec   0.125 ms    0/ 6804 (0%)  3.885/ 3.485/10.821/ 0.246 ms  680 pps
12.0 Mbits/sec   0.224 ms    0/10206 (0%)  3.878/ 3.466/25.486/ 1.040 ms 1020 pps
9.00 Mbits/sec   0.124 ms    0/ 7655 (0%)  3.758/ 3.444/ 9.535/ 0.186 ms  765 pps
10.0 Mbits/sec   0.094 ms    0/ 8505 (0%)  3.838/ 3.454/12.477/ 0.321 ms  850 pps
7.00 Mbits/sec   0.089 ms    0/ 5954 (0%)  3.754/ 3.434/15.780/ 0.379 ms  595 pps
9.00 Mbits/sec   0.130 ms    0/ 7655 (0%)  3.729/ 3.413/ 8.079/ 0.180 ms  765 pps
7.00 Mbits/sec   0.125 ms    0/ 5954 (0%)  3.713/ 3.412/ 8.347/ 0.162 ms  595 pps
12.0 Mbits/sec   0.129 ms    0/10206 (0%)  3.780/ 3.415/20.422/ 0.703 ms 1020 pps
8.00 Mbits/sec   0.130 ms    0/ 6804 (0%)  3.712/ 3.435/ 7.391/ 0.179 ms  680 pps
6.00 Mbits/sec   0.132 ms    0/ 5104 (0%)  3.830/ 3.441/13.732/ 0.431 ms  510 pps
7.00 Mbits/sec   0.163 ms    0/ 5954 (0%)  3.729/ 3.438/ 8.220/ 0.171 ms  595 pps
7.00 Mbits/sec   0.126 ms    0/ 5954 (0%)  3.785/ 3.439/ 8.003/ 0.172 ms  595 pps
3.00 Mbits/sec   0.096 ms    0/ 2553 (0%)  3.783/ 3.475/ 8.495/ 0.201 ms  255 pps
9.00 Mbits/sec   0.137 ms    0/ 7654 (0%)  3.815/ 3.470/12.631/ 0.410 ms  765 pps
