7.30 Mbits/sec   2.171 ms    0/ 6228 (0%) 59.675/-9.356/155.223/23.011 ms  621 pps
9.00 Mbits/sec   0.108 ms    0/ 7655 (0%) -9.031/-9.344/-3.867/ 0.189 ms  765 pps
6.00 Mbits/sec   0.118 ms    0/ 5103 (0%) -9.085/-9.379/-5.165/ 0.205 ms  510 pps
6.00 Mbits/sec   0.112 ms    0/ 5103 (0%) -9.103/-9.369/-6.505/ 0.189 ms  510 pps
7.00 Mbits/sec   0.109 ms    0/ 5954 (0%) -9.066/-9.353/-7.826/ 0.162 ms  595 pps
9.00 Mbits/sec   0.083 ms    0/ 7654 (0%) -9.087/-9.361/-3.645/ 0.187 ms  765 pps
14.0 Mbits/sec   0.145 ms    0/11906 (0%) -9.060/-9.365/-2.094/ 0.240 ms 1190 pps
9.00 Mbits/sec   0.200 ms    0/ 7655 (0%) -9.039/-9.352/-1.524/ 0.224 ms  765 pps
8.00 Mbits/sec   0.102 ms    0/ 6804 (0%) -9.029/-9.304/-5.016/ 0.177 ms  680 pps
7.00 Mbits/sec   0.070 ms    0/ 5954 (0%) -9.040/-9.344/-5.651/ 0.181 ms  595 pps
12.0 Mbits/sec   0.150 ms    0/10205 (0%) -9.048/-9.329/-6.629/ 0.159 ms 1020 pps
8.00 Mbits/sec   0.128 ms    0/ 6804 (0%) -9.026/-9.312/-6.663/ 0.171 ms  680 pps
6.00 Mbits/sec   0.139 ms    0/ 5103 (0%) -9.017/-9.309/-5.964/ 0.196 ms  510 pps
6.00 Mbits/sec   0.109 ms    0/ 5104 (0%) -9.044/-9.296/-7.788/ 0.160 ms  510 pps
9.00 Mbits/sec   0.115 ms    0/ 7655 (0%) -9.002/-9.276/-5.381/ 0.179 ms  765 pps
10.0 Mbits/sec   0.105 ms    0/ 8505 (0%) -8.990/-9.308/-2.377/ 0.206 ms  850 pps
4.00 Mbits/sec   0.111 ms    0/ 3403 (0%) -9.025/-9.289/-6.961/ 0.192 ms  340 pps
