7.53 Mbits/sec   7.052 ms    0/ 6473 (0%) 4912.645/4848.800/5017.792/66.704 ms  640 pps
8.00 Mbits/sec   0.111 ms    0/ 6804 (0%) 4849.405/4849.069/4855.424/58.797 ms  680 pps
9.00 Mbits/sec   0.139 ms    0/ 7655 (0%) 4849.881/4849.516/4855.081/55.444 ms  765 pps
9.00 Mbits/sec   0.107 ms    0/ 7655 (0%) 4850.273/4849.947/4853.981/55.439 ms  765 pps
8.00 Mbits/sec   0.162 ms    0/ 6804 (0%) 4850.688/4850.352/4855.716/58.809 ms  680 pps
8.00 Mbits/sec   0.121 ms    0/ 6804 (0%) 4851.111/4850.733/4854.540/58.814 ms  680 pps
5.00 Mbits/sec   0.124 ms    0/ 4253 (0%) 4851.742/4851.397/4855.711/74.404 ms  425 pps
8.00 Mbits/sec   0.141 ms    0/ 6804 (0%) 4852.144/4851.792/4856.381/58.827 ms  680 pps
9.00 Mbits/sec   0.107 ms    0/ 7654 (0%) 4852.612/4852.211/4859.241/55.469 ms  765 pps
9.00 Mbits/sec   0.111 ms    0/ 7654 (0%) 4852.972/4852.566/4857.855/55.473 ms  765 pps
11.0 Mbits/sec   0.368 ms    0/ 9355 (0%) 4853.352/4852.988/4858.406/50.183 ms  935 pps
10.0 Mbits/sec   0.120 ms    0/ 8505 (0%) 4853.772/4853.405/4857.514/52.633 ms  850 pps
11.0 Mbits/sec   0.165 ms    0/ 9355 (0%) 4854.458/4854.058/4859.663/50.191 ms  935 pps
11.0 Mbits/sec   0.123 ms    0/ 9355 (0%) 4854.848/4854.477/4862.578/50.196 ms  935 pps
8.00 Mbits/sec   0.135 ms    0/ 6804 (0%) 4855.265/4854.885/4861.246/58.865 ms  680 pps
9.00 Mbits/sec   0.094 ms    0/ 7655 (0%) 4855.712/4855.274/4860.644/55.501 ms  765 pps
8.00 Mbits/sec   0.104 ms    0/ 6804 (0%) 4856.154/4855.718/4862.251/58.875 ms  680 pps
9.00 Mbits/sec   0.136 ms    0/ 7654 (0%) 4856.484/4856.085/4863.438/55.514 ms  765 pps
6.00 Mbits/sec   0.150 ms    0/ 5104 (0%) 4857.112/4856.707/4862.823/67.995 ms  510 pps
7.00 Mbits/sec   0.120 ms    0/ 5954 (0%) 4857.535/4857.123/4860.997/62.958 ms  595 pps
7.00 Mbits/sec   0.151 ms    0/ 5954 (0%) 4857.912/4857.549/4862.454/62.961 ms  595 pps
9.00 Mbits/sec   0.140 ms    0/ 7654 (0%) 4858.295/4857.913/4864.051/55.534 ms  765 pps
10.0 Mbits/sec   0.118 ms    0/ 8505 (0%) 4858.768/4858.393/4867.971/52.690 ms  850 pps
3.00 Mbits/sec   0.124 ms    0/ 2552 (0%) 4859.086/4858.737/4864.163/96.206 ms  255 pps
7.00 Mbits/sec   0.145 ms    0/ 5954 (0%) 4859.734/4859.348/4864.094/62.987 ms  595 pps
10.0 Mbits/sec   0.110 ms    0/ 8505 (0%) 4860.136/4859.730/4867.030/52.704 ms  850 pps
10.0 Mbits/sec   0.075 ms    0/ 8505 (0%) 4860.516/4860.176/4865.902/52.710 ms  850 pps
10.0 Mbits/sec   0.144 ms    0/ 8505 (0%) 4860.942/4860.552/4864.334/52.713 ms  850 pps
6.00 Mbits/sec   0.116 ms    0/ 5104 (0%) 4861.360/4860.963/4866.494/68.050 ms  510 pps
10.0 Mbits/sec   0.132 ms    0/ 8505 (0%) 4861.771/4861.369/4867.962/52.720 ms  850 pps
7.00 Mbits/sec   0.126 ms    0/ 5954 (0%) 4862.421/4862.000/4868.438/63.019 ms  595 pps
8.00 Mbits/sec   0.145 ms    0/ 6804 (0%) 4862.818/4862.403/4868.916/58.955 ms  680 pps
11.0 Mbits/sec   0.136 ms    0/ 9355 (0%) 4863.197/4862.781/4867.296/50.283 ms  935 pps
6.00 Mbits/sec   0.157 ms    0/ 5103 (0%) 4863.578/4863.187/4867.500/68.090 ms  510 pps
9.00 Mbits/sec   0.098 ms    0/ 7654 (0%) 4863.993/4863.586/4870.867/55.600 ms  765 pps
8.00 Mbits/sec   0.134 ms    0/ 6804 (0%) 4864.431/4864.024/4870.522/58.975 ms  680 pps
9.00 Mbits/sec   0.092 ms    0/ 7655 (0%) 4865.002/4864.601/4869.897/55.607 ms  765 pps
8.00 Mbits/sec   0.124 ms    0/ 6804 (0%) 4865.385/4864.997/4870.841/58.989 ms  680 pps
9.00 Mbits/sec   0.093 ms    0/ 7654 (0%) 4865.839/4865.411/4870.163/55.620 ms  765 pps
8.00 Mbits/sec   0.094 ms    0/ 6804 (0%) 4866.268/4865.853/4870.265/58.999 ms  680 pps
10.0 Mbits/sec   0.176 ms    0/ 8505 (0%) 4866.664/4866.232/4872.861/52.773 ms  850 pps
10.0 Mbits/sec   0.135 ms    0/ 8505 (0%) 4867.044/4866.629/4872.933/52.777 ms  850 pps
10.0 Mbits/sec   0.121 ms    0/ 8505 (0%) 4867.675/4867.215/4873.468/52.784 ms  850 pps
7.00 Mbits/sec   0.138 ms    0/ 5954 (0%) 4868.063/4867.672/4873.041/63.092 ms  595 pps
6.00 Mbits/sec   0.160 ms    0/ 5104 (0%) 4868.487/4868.050/4873.418/68.152 ms  510 pps
6.00 Mbits/sec   0.093 ms    0/ 5103 (0%) 4868.838/4868.462/4876.225/68.164 ms  510 pps
10.0 Mbits/sec   0.145 ms    0/ 8505 (0%) 4869.280/4868.849/4872.883/52.802 ms  850 pps
5.00 Mbits/sec   0.100 ms    0/ 4253 (0%) 4869.697/4869.265/4873.344/74.680 ms  425 pps
9.00 Mbits/sec   0.190 ms    0/ 7655 (0%) 4870.289/4869.840/4876.096/55.667 ms  765 pps
11.0 Mbits/sec   0.144 ms    0/ 9355 (0%) 4870.662/4870.260/4880.281/50.362 ms  935 pps
7.00 Mbits/sec   0.184 ms    0/ 5954 (0%) 4871.058/4870.661/4878.569/63.132 ms  595 pps
8.00 Mbits/sec   0.165 ms    0/ 6804 (0%) 4871.433/4871.063/4876.602/59.059 ms  680 pps
9.00 Mbits/sec   0.213 ms    0/ 7655 (0%) 4871.862/4871.456/4878.817/55.683 ms  765 pps
11.0 Mbits/sec   0.130 ms    0/ 9355 (0%) 4872.285/4871.846/4879.422/50.377 ms  935 pps
8.00 Mbits/sec   0.137 ms    0/ 6804 (0%) 4872.934/4872.471/4884.691/59.083 ms  680 pps
9.00 Mbits/sec   0.116 ms    0/ 7655 (0%) 4873.287/4872.881/4876.475/55.703 ms  765 pps
12.0 Mbits/sec   0.139 ms    0/10205 (0%) 4873.749/4873.344/4882.903/48.248 ms 1020 pps
6.00 Mbits/sec   0.125 ms    0/ 5104 (0%) 4874.176/4873.810/4878.080/68.232 ms  510 pps
7.00 Mbits/sec   0.107 ms    0/ 5954 (0%) 4874.557/4874.183/4879.155/63.177 ms  595 pps
10.0 Mbits/sec   0.111 ms    0/ 8505 (0%) 4874.998/4874.572/4884.920/52.863 ms  850 pps
5.00 Mbits/sec   0.150 ms    0/ 4253 (0%) 4875.587/4875.186/4879.367/74.768 ms  425 pps
5.00 Mbits/sec   0.135 ms    0/ 4253 (0%) 4875.964/4875.601/4879.945/74.775 ms  425 pps
8.00 Mbits/sec   0.113 ms    0/ 6804 (0%) 4876.355/4875.964/4880.790/59.119 ms  680 pps
9.00 Mbits/sec   0.156 ms    0/ 7654 (0%) 4876.823/4876.353/4882.933/55.745 ms  765 pps
8.00 Mbits/sec   0.116 ms    0/ 6804 (0%) 4877.211/4876.823/4884.409/59.130 ms  680 pps
8.00 Mbits/sec   0.164 ms    0/ 6804 (0%) 4877.589/4877.208/4882.951/59.136 ms  680 pps
12.0 Mbits/sec   0.120 ms    0/10206 (0%) 4878.246/4877.777/4883.637/48.290 ms 1020 pps
7.00 Mbits/sec   0.161 ms    0/ 5954 (0%) 4878.617/4878.167/4882.255/63.229 ms  595 pps
8.00 Mbits/sec   0.126 ms    0/ 6804 (0%) 4879.011/4878.611/4884.929/59.152 ms  680 pps
11.0 Mbits/sec   0.081 ms    0/ 9355 (0%) 4879.440/4879.026/4884.217/50.450 ms  935 pps
8.00 Mbits/sec   0.109 ms    0/ 6804 (0%) 4879.845/4879.459/4884.808/59.162 ms  680 pps
7.00 Mbits/sec   0.167 ms    0/ 5954 (0%) 4880.304/4879.887/4885.337/63.252 ms  595 pps
13.0 Mbits/sec   0.151 ms    0/11056 (0%) 4880.936/4880.503/4891.771/46.426 ms 1105 pps
5.00 Mbits/sec   0.157 ms    0/ 4253 (0%) 4881.268/4880.896/4886.973/74.855 ms  425 pps
7.00 Mbits/sec   0.106 ms    0/ 5954 (0%) 4881.757/4881.335/4889.412/63.269 ms  595 pps
5.00 Mbits/sec   0.190 ms    0/ 4253 (0%) 4882.118/4881.720/4886.260/74.871 ms  425 pps
10.0 Mbits/sec   0.143 ms    0/ 8505 (0%) 4882.529/4882.149/4887.395/52.947 ms  850 pps
8.00 Mbits/sec   0.124 ms    0/ 6804 (0%) 4882.973/4882.562/4887.803/59.201 ms  680 pps
10.0 Mbits/sec   0.135 ms    0/ 8505 (0%) 4883.604/4883.130/4889.530/52.957 ms  850 pps
