7.71 Mbits/sec   8.814 ms    0/ 6661 (0%) 61.370/ 4.570/215.423/52.106 ms  655 pps
8.42 Mbits/sec   9.452 ms    0/ 7283 (0%) 46.818/ 4.579/193.208/52.867 ms  715 pps
7.24 Mbits/sec   9.268 ms    0/ 6239 (0%) 64.112/ 4.577/202.215/53.151 ms  615 pps
10.1 Mbits/sec   0.058 ms    0/ 8505 (0%) 61.300/ 4.537/185.866/35.773 ms  855 pps
12.0 Mbits/sec   0.078 ms    0/10205 (0%) 59.530/ 4.554/201.764/36.630 ms 1021 pps
10.8 Mbits/sec   0.499 ms    0/ 9228 (0%) 68.464/18.093/194.049/30.516 ms  921 pps
9.52 Mbits/sec   1.612 ms    0/ 8119 (0%) 75.248/ 4.482/188.344/27.904 ms  809 pps
10.7 Mbits/sec   0.947 ms    0/ 9122 (0%) 65.775/ 4.436/179.294/30.971 ms  909 pps
8.99 Mbits/sec   0.719 ms    0/ 7654 (0%) 29.287/ 4.457/193.526/38.665 ms  764 pps
10.1 Mbits/sec   0.046 ms    0/ 8505 (0%) 26.108/ 4.464/172.575/35.754 ms  856 pps
12.0 Mbits/sec   0.058 ms    0/10205 (0%) 26.650/ 4.480/192.768/32.416 ms 1020 pps
7.07 Mbits/sec   0.057 ms    0/ 5954 (0%) 21.503/ 4.465/136.195/33.625 ms  601 pps
11.0 Mbits/sec   0.084 ms    0/ 9355 (0%) 16.600/ 4.517/186.605/21.822 ms  936 pps
11.0 Mbits/sec   0.098 ms    0/ 9355 (0%) 33.220/ 4.541/187.643/32.205 ms  937 pps
9.00 Mbits/sec   0.077 ms    0/ 7654 (0%) 34.706/ 4.540/162.767/37.398 ms  765 pps
8.02 Mbits/sec   0.039 ms    0/ 6804 (0%) 49.439/ 4.606/146.098/41.851 ms  681 pps
5.03 Mbits/sec   0.122 ms    0/ 4253 (0%) 57.220/ 4.625/120.540/32.614 ms  428 pps
10.0 Mbits/sec   0.083 ms    0/ 8505 (0%) 59.259/ 4.634/191.266/30.248 ms  851 pps
9.01 Mbits/sec   0.079 ms    0/ 7654 (0%) 67.325/ 4.676/171.226/27.890 ms  766 pps
9.00 Mbits/sec   0.253 ms    0/ 7654 (0%) 72.393/17.299/176.076/22.802 ms  765 pps
11.9 Mbits/sec   0.605 ms    0/10091 (0%) 63.551/18.847/186.621/23.907 ms 1008 pps
7.99 Mbits/sec   0.234 ms    0/ 6804 (0%) 59.001/ 4.794/118.732/28.819 ms  679 pps
10.7 Mbits/sec   3.266 ms    0/ 9146 (0%) 60.748/ 4.769/228.244/32.218 ms  908 pps
8.93 Mbits/sec   5.270 ms    0/ 7671 (0%) 61.949/ 4.766/197.845/35.432 ms  759 pps
9.27 Mbits/sec   3.737 ms    0/ 7921 (0%) 72.962/ 4.933/222.401/24.869 ms  787 pps
7.00 Mbits/sec   0.090 ms    0/ 5954 (0%) 36.359/ 4.812/139.817/39.139 ms  595 pps
11.3 Mbits/sec   2.688 ms    0/ 9662 (0%) 55.150/ 4.815/211.828/31.317 ms  960 pps
