    0/10206 (0%) 1937.812/1937.284/1949.758/19.191 
    0/ 7655 (0%) 2474.947/2474.476/2478.784/28.291 
    0/ 8505 (0%) 2473.927/2473.479/2479.842/26.833 
    0/ 9355 (0%) 2472.433/2471.992/2478.754/25.566 
    0/ 8505 (0%) 2470.984/2470.537/2478.798/26.800 
    0/ 7654 (0%) 2469.954/2469.482/2476.875/28.239 
    0/ 7655 (0%) 2468.397/2467.901/2475.052/28.218 
    0/ 7655 (0%) 2467.424/2466.959/2473.188/28.207 
    0/ 8505 (0%) 2466.401/2465.920/2476.005/26.751 
    0/ 7655 (0%) 2465.304/2464.862/2471.103/28.209 
    0/ 9355 (0%) 2464.296/2463.801/2469.811/25.482 
    0/ 9355 (0%) 2463.317/2462.828/2469.797/25.476 
    0/ 8505 (0%) 2461.816/2461.289/2469.165/26.701 
    0/ 7655 (0%) 2460.769/2460.297/2466.870/28.132 
    0/ 7655 (0%) 2459.753/2459.292/2467.285/28.120 
    0/ 8505 (0%) 2458.746/2458.264/2464.650/26.667 
    0/ 5954 (0%) 2457.741/2457.243/2463.336/31.859 
    0/ 7655 (0%) 2456.423/2455.963/2463.206/28.081 
    0/ 8505 (0%) 2454.640/2454.130/2462.224/26.624 
    0/ 7655 (0%) 2453.551/2453.086/2461.136/28.048 
    0/ 7655 (0%) 2452.521/2452.031/2460.572/28.037 
    0/ 7655 (0%) 2451.446/2450.983/2459.275/28.022 
    0/ 7655 (0%) 2450.398/2449.926/2459.189/28.015 
    0/ 8505 (0%) 2449.381/2448.880/2455.153/26.566 
    0/ 7655 (0%) 2447.786/2447.315/2453.766/27.985 
    0/ 9355 (0%) 2446.676/2446.203/2453.679/25.301 
    0/ 8505 (0%) 2445.690/2445.191/2452.063/26.524 
    0/ 9355 (0%) 2444.682/2444.170/2453.094/25.284 
    0/ 7655 (0%) 2443.567/2443.085/2449.391/27.936 
    0/ 9355 (0%) 2442.636/2442.116/2453.358/25.263 
    0/ 8505 (0%) 2440.728/2440.249/2448.637/26.473 
    0/ 8505 (0%) 2439.686/2439.223/2443.605/26.460 
    0/ 9355 (0%) 2438.660/2438.191/2445.485/25.218 
    0/ 8505 (0%) 2437.703/2437.239/2446.927/26.440 
    0/ 8505 (0%) 2436.659/2436.184/2443.960/26.426 
    0/ 7655 (0%) 2435.632/2435.138/2441.181/27.843 
    0/ 8505 (0%) 2434.116/2433.627/2441.500/26.400 
    0/ 8505 (0%) 2433.116/2432.628/2444.341/26.391 
    0/ 8505 (0%) 2432.074/2431.609/2440.313/26.380 
