7.97 Mbits/sec   2.086 ms    0/ 6804 (0%) 56.075/-2.927/104.805/25.477 ms  677 pps
9.00 Mbits/sec   0.089 ms    0/ 7654 (0%) -2.627/-2.992/ 9.757/ 0.351 ms  765 pps
7.00 Mbits/sec   0.095 ms    0/ 5954 (0%) -2.542/-2.981/11.047/ 0.531 ms  595 pps
7.00 Mbits/sec   0.158 ms    0/ 5954 (0%) -2.539/-2.910/ 3.685/ 0.203 ms  595 pps
6.00 Mbits/sec   0.092 ms    0/ 5104 (0%) -2.639/-2.950/ 1.250/ 0.177 ms  510 pps
8.00 Mbits/sec   0.153 ms    0/ 6804 (0%) -2.641/-2.970/ 2.883/ 0.204 ms  680 pps
5.00 Mbits/sec   0.141 ms    0/ 4253 (0%) -2.637/-2.956/ 5.884/ 0.326 ms  425 pps
7.00 Mbits/sec   0.129 ms    0/ 5954 (0%) -2.650/-2.962/ 6.939/ 0.317 ms  595 pps
11.0 Mbits/sec   0.186 ms    0/ 9355 (0%) -2.611/-2.939/ 5.085/ 0.260 ms  935 pps
8.00 Mbits/sec   0.102 ms    0/ 6804 (0%) -2.557/-2.858/10.517/ 0.366 ms  680 pps
9.00 Mbits/sec   0.256 ms    0/ 7654 (0%) -2.464/-2.820/ 5.040/ 0.245 ms  765 pps
12.0 Mbits/sec   0.144 ms    0/10205 (0%) -2.469/-2.781/ 4.048/ 0.246 ms 1020 pps
7.00 Mbits/sec   0.109 ms    0/ 5954 (0%) -2.398/-2.710/ 5.660/ 0.232 ms  595 pps
7.00 Mbits/sec   0.107 ms    0/ 5954 (0%) -2.399/-2.635/ 6.426/ 0.243 ms  595 pps
7.00 Mbits/sec   0.144 ms    0/ 5954 (0%) -2.308/-2.575/ 3.296/ 0.164 ms  595 pps
7.00 Mbits/sec   0.172 ms    0/ 5954 (0%) -2.245/-2.568/ 0.979/ 0.170 ms  595 pps
8.00 Mbits/sec   0.154 ms    0/ 6804 (0%) -2.203/-2.536/ 0.055/ 0.147 ms  680 pps
5.00 Mbits/sec   0.133 ms    0/ 4253 (0%) -2.151/-2.470/ 0.773/ 0.171 ms  425 pps
7.00 Mbits/sec   0.125 ms    0/ 5954 (0%) -2.101/-2.417/ 0.680/ 0.151 ms  595 pps
5.00 Mbits/sec   0.284 ms    0/ 4253 (0%) -2.064/-2.333/ 2.324/ 0.181 ms  425 pps
6.00 Mbits/sec   0.088 ms    0/ 5104 (0%) -2.025/-2.298/ 0.313/ 0.154 ms  510 pps
9.00 Mbits/sec   0.125 ms    0/ 7654 (0%) -1.986/-2.263/ 4.785/ 0.193 ms  765 pps
7.00 Mbits/sec   0.152 ms    0/ 5954 (0%) -1.922/-2.223/ 0.812/ 0.136 ms  595 pps
8.00 Mbits/sec   0.137 ms    0/ 6804 (0%) -1.871/-2.173/ 3.359/ 0.192 ms  680 pps
10.0 Mbits/sec   0.137 ms    0/ 8505 (0%) -1.763/-2.093/ 3.288/ 0.197 ms  850 pps
8.00 Mbits/sec   0.175 ms    0/ 6804 (0%) -1.754/-2.071/ 8.921/ 0.329 ms  680 pps
14.0 Mbits/sec   0.107 ms    0/11906 (0%) -1.743/-2.015/ 2.373/ 0.149 ms 1190 pps
10.0 Mbits/sec   0.111 ms    0/ 8505 (0%) -1.680/-1.967/ 1.841/ 0.160 ms  850 pps
8.00 Mbits/sec   0.241 ms    0/ 6804 (0%) -1.648/-1.938/ 8.351/ 0.306 ms  680 pps
9.00 Mbits/sec   0.078 ms    0/ 7654 (0%) -1.592/-1.892/ 5.868/ 0.209 ms  765 pps
9.00 Mbits/sec   0.106 ms    0/ 7654 (0%) -1.460/-1.830/ 5.905/ 0.267 ms  765 pps
9.00 Mbits/sec   0.161 ms    0/ 7654 (0%) -1.504/-1.793/ 4.678/ 0.197 ms  765 pps
9.00 Mbits/sec   0.072 ms    0/ 7655 (0%) -1.488/-1.738/ 2.141/ 0.140 ms  765 pps
9.00 Mbits/sec   0.102 ms    0/ 7655 (0%) -1.435/-1.704/ 1.570/ 0.129 ms  765 pps
7.00 Mbits/sec   0.117 ms    0/ 5954 (0%) -1.342/-1.655/ 5.045/ 0.248 ms  595 pps
5.00 Mbits/sec   0.052 ms    0/ 4253 (0%) -1.334/-1.616/ 1.618/ 0.109 ms  425 pps
6.00 Mbits/sec   0.139 ms    0/ 5104 (0%) -1.200/-1.550/ 5.330/ 0.306 ms  510 pps
10.0 Mbits/sec   0.091 ms    0/ 8505 (0%) -1.210/-1.508/ 5.272/ 0.165 ms  850 pps
14.0 Mbits/sec   0.102 ms    0/11906 (0%) -1.178/-1.475/ 3.809/ 0.190 ms 1190 pps
6.00 Mbits/sec   0.072 ms    0/ 5103 (0%) -1.129/-1.392/ 1.831/ 0.133 ms  510 pps
8.00 Mbits/sec   0.107 ms    0/ 6804 (0%) -1.074/-1.368/ 0.818/ 0.110 ms  680 pps
8.00 Mbits/sec   0.121 ms    0/ 6804 (0%) -1.029/-1.331/ 6.339/ 0.262 ms  680 pps
10.0 Mbits/sec   0.099 ms    0/ 8505 (0%) -0.933/-1.245/ 7.908/ 0.385 ms  850 pps
9.00 Mbits/sec   0.140 ms    0/ 7654 (0%) -0.908/-1.214/13.153/ 0.380 ms  765 pps
6.00 Mbits/sec   0.112 ms    0/ 5103 (0%) -0.907/-1.195/ 2.047/ 0.135 ms  510 pps
6.00 Mbits/sec   0.084 ms    0/ 5103 (0%) -0.811/-1.136/ 2.889/ 0.183 ms  510 pps
8.00 Mbits/sec   0.077 ms    0/ 6804 (0%) -0.785/-1.106/ 2.602/ 0.176 ms  680 pps
4.00 Mbits/sec   0.127 ms    0/ 3403 (0%) -0.735/-1.072/ 6.771/ 0.228 ms  340 pps
9.00 Mbits/sec   0.625 ms    0/ 7655 (0%) -0.673/-0.986/10.018/ 0.460 ms  765 pps
9.00 Mbits/sec   0.118 ms    0/ 7654 (0%) -0.652/-0.965/ 4.802/ 0.182 ms  765 pps
7.00 Mbits/sec   0.087 ms    0/ 5954 (0%) -0.560/-0.924/ 5.368/ 0.221 ms  595 pps
10.0 Mbits/sec   0.098 ms    0/ 8505 (0%) -0.585/-0.895/10.633/ 0.289 ms  850 pps
9.00 Mbits/sec   0.118 ms    0/ 7655 (0%) -0.510/-0.854/ 4.644/ 0.212 ms  765 pps
8.00 Mbits/sec   0.146 ms    0/ 6804 (0%) -0.513/-0.800/ 3.701/ 0.180 ms  680 pps
9.00 Mbits/sec   0.368 ms    0/ 7655 (0%) -0.280/-0.742/12.589/ 0.494 ms  765 pps
9.00 Mbits/sec   0.137 ms    0/ 7655 (0%) -0.338/-0.684/ 7.038/ 0.220 ms  765 pps
7.00 Mbits/sec   0.095 ms    0/ 5954 (0%) -0.308/-0.628/ 4.417/ 0.145 ms  595 pps
9.00 Mbits/sec   0.152 ms    0/ 7654 (0%) -0.310/-0.601/ 5.607/ 0.253 ms  765 pps
8.00 Mbits/sec   0.080 ms    0/ 6804 (0%) -0.312/-0.602/ 2.560/ 0.148 ms  680 pps
8.00 Mbits/sec   0.106 ms    0/ 6804 (0%) -0.261/-0.585/ 4.148/ 0.210 ms  680 pps
8.00 Mbits/sec   0.119 ms    0/ 6804 (0%) -0.190/-0.547/ 0.597/ 0.120 ms  680 pps
8.00 Mbits/sec   0.161 ms    0/ 6804 (0%) -0.241/-0.518/ 3.125/ 0.150 ms  680 pps
7.00 Mbits/sec   0.239 ms    0/ 5954 (0%) -0.192/-0.504/ 1.694/ 0.147 ms  595 pps
8.00 Mbits/sec   0.182 ms    0/ 6804 (0%) -0.224/-0.485/ 2.089/ 0.146 ms  680 pps
12.0 Mbits/sec   0.143 ms    0/10205 (0%) -0.187/-0.454/ 5.588/ 0.162 ms 1020 pps
5.00 Mbits/sec   0.110 ms    0/ 4253 (0%) -0.099/-0.424/ 5.012/ 0.175 ms  425 pps
11.0 Mbits/sec   0.265 ms    0/ 9355 (0%) -0.089/-0.406/ 5.644/ 0.195 ms  935 pps
9.00 Mbits/sec   0.116 ms    0/ 7655 (0%) -0.094/-0.352/ 4.014/ 0.147 ms  765 pps
12.0 Mbits/sec   0.133 ms    0/10205 (0%) -0.060/-0.357/ 2.319/ 0.126 ms 1020 pps
7.00 Mbits/sec   0.110 ms    0/ 5954 (0%) -0.031/-0.337/ 5.707/ 0.193 ms  595 pps
7.00 Mbits/sec   0.094 ms    0/ 5954 (0%) -0.039/-0.306/ 2.287/ 0.114 ms  595 pps
10.0 Mbits/sec   0.127 ms    0/ 8505 (0%)  0.020/-0.286/ 3.923/ 0.160 ms  850 pps
9.00 Mbits/sec   0.165 ms    0/ 7654 (0%)  0.001/-0.244/ 3.544/ 0.121 ms  765 pps
7.00 Mbits/sec   0.162 ms    0/ 5954 (0%)  0.159/-0.188/10.553/ 0.469 ms  595 pps
12.0 Mbits/sec   0.136 ms    0/10205 (0%)  0.121/-0.212/ 8.046/ 0.270 ms 1020 pps
7.00 Mbits/sec   0.142 ms    0/ 5954 (0%)  0.120/-0.168/ 2.602/ 0.133 ms  595 pps
6.00 Mbits/sec   0.111 ms    0/ 5103 (0%)  0.128/-0.177/ 1.871/ 0.121 ms  510 pps
7.00 Mbits/sec   0.112 ms    0/ 5954 (0%)  0.126/-0.146/ 3.963/ 0.131 ms  595 pps
9.00 Mbits/sec   0.120 ms    0/ 7655 (0%)  0.167/-0.106/ 5.181/ 0.190 ms  765 pps
7.00 Mbits/sec   0.099 ms    0/ 5954 (0%)  0.279/-0.092/ 9.463/ 0.423 ms  595 pps
9.00 Mbits/sec   0.105 ms    0/ 7654 (0%)  0.233/-0.079/ 6.080/ 0.177 ms  765 pps
9.00 Mbits/sec   0.109 ms    0/ 7655 (0%)  0.200/-0.076/ 6.895/ 0.202 ms  765 pps
9.00 Mbits/sec   0.099 ms    0/ 7654 (0%)  0.248/-0.054/ 3.492/ 0.168 ms  765 pps
10.0 Mbits/sec   0.110 ms    0/ 8505 (0%)  0.252/-0.025/ 6.172/ 0.169 ms  850 pps
10.0 Mbits/sec   0.113 ms    0/ 8505 (0%)  0.291/-0.025/ 5.097/ 0.174 ms  850 pps
10.0 Mbits/sec   0.120 ms    0/ 8505 (0%)  0.322/-0.007/ 9.297/ 0.374 ms  850 pps
5.00 Mbits/sec   0.085 ms    0/ 4253 (0%)  0.357/ 0.034/ 6.420/ 0.193 ms  425 pps
8.00 Mbits/sec   0.093 ms    0/ 6804 (0%)  0.438/ 0.046/ 4.240/ 0.218 ms  680 pps
7.00 Mbits/sec   0.189 ms    0/ 5954 (0%)  0.340/ 0.037/ 6.089/ 0.189 ms  595 pps
6.00 Mbits/sec   0.118 ms    0/ 5104 (0%)  0.340/ 0.065/ 2.477/ 0.141 ms  510 pps
9.00 Mbits/sec   0.105 ms    0/ 7654 (0%)  0.396/ 0.074/ 8.691/ 0.208 ms  765 pps
9.00 Mbits/sec   0.131 ms    0/ 7655 (0%)  0.480/ 0.108/10.711/ 0.432 ms  765 pps
10.0 Mbits/sec   0.136 ms    0/ 8505 (0%)  0.399/ 0.118/ 3.240/ 0.128 ms  850 pps
11.0 Mbits/sec   0.179 ms    0/ 9355 (0%)  0.464/ 0.138/ 5.904/ 0.292 ms  935 pps
12.0 Mbits/sec   0.153 ms    0/10205 (0%)  0.474/ 0.151/ 5.761/ 0.210 ms 1020 pps
7.00 Mbits/sec   0.117 ms    0/ 5954 (0%)  0.463/ 0.159/ 3.584/ 0.161 ms  595 pps
10.0 Mbits/sec   0.090 ms    0/ 8505 (0%)  0.448/ 0.187/ 3.699/ 0.115 ms  850 pps
8.00 Mbits/sec   0.102 ms    0/ 6804 (0%)  0.567/ 0.202/ 9.770/ 0.378 ms  680 pps
10.0 Mbits/sec   0.134 ms    0/ 8505 (0%)  0.556/ 0.226/ 4.453/ 0.186 ms  850 pps
8.00 Mbits/sec   0.116 ms    0/ 6804 (0%)  0.617/ 0.325/ 3.395/ 0.190 ms  680 pps
8.00 Mbits/sec   0.114 ms    0/ 6804 (0%)  0.702/ 0.371/ 4.097/ 0.135 ms  680 pps
8.00 Mbits/sec   0.110 ms    0/ 6804 (0%)  0.728/ 0.455/ 4.400/ 0.136 ms  680 pps
10.0 Mbits/sec   0.086 ms    0/ 8505 (0%)  0.836/ 0.537/ 5.661/ 0.183 ms  850 pps
9.00 Mbits/sec   0.397 ms    0/ 7654 (0%)  0.959/ 0.612/10.426/ 0.339 ms  765 pps
13.0 Mbits/sec   0.110 ms    0/11056 (0%)  0.969/ 0.697/ 3.135/ 0.125 ms 1105 pps
10.0 Mbits/sec   0.101 ms    0/ 8505 (0%)  1.080/ 0.781/ 7.398/ 0.183 ms  850 pps
11.0 Mbits/sec   0.118 ms    0/ 9355 (0%)  1.135/ 0.846/ 4.195/ 0.140 ms  935 pps
9.00 Mbits/sec   0.120 ms    0/ 7655 (0%)  1.238/ 0.913/ 8.368/ 0.224 ms  765 pps
7.00 Mbits/sec   0.146 ms    0/ 5954 (0%)  1.419/ 1.072/ 4.455/ 0.114 ms  595 pps
10.0 Mbits/sec   0.337 ms    0/ 8505 (0%)  1.473/ 1.110/ 5.685/ 0.198 ms  850 pps
10.0 Mbits/sec   0.191 ms    0/ 8505 (0%)  1.529/ 1.229/ 5.629/ 0.144 ms  850 pps
8.00 Mbits/sec   0.100 ms    0/ 6804 (0%)  1.696/ 1.267/ 7.058/ 0.229 ms  680 pps
9.00 Mbits/sec   0.095 ms    0/ 7654 (0%)  1.654/ 1.348/ 4.005/ 0.126 ms  765 pps
7.00 Mbits/sec   0.223 ms    0/ 5954 (0%)  1.729/ 1.431/ 3.606/ 0.144 ms  595 pps
11.0 Mbits/sec   0.108 ms    0/ 9355 (0%)  1.843/ 1.516/10.819/ 0.264 ms  935 pps
13.0 Mbits/sec   0.127 ms    0/11056 (0%)  1.892/ 1.600/ 6.123/ 0.167 ms 1105 pps
11.0 Mbits/sec   0.196 ms    0/ 9355 (0%)  1.998/ 1.667/14.727/ 0.425 ms  935 pps
9.00 Mbits/sec   0.073 ms    0/ 7655 (0%)  2.046/ 1.717/ 9.293/ 0.185 ms  765 pps
8.00 Mbits/sec   0.135 ms    0/ 6804 (0%)  2.116/ 1.807/ 6.257/ 0.147 ms  680 pps
7.00 Mbits/sec   0.164 ms    0/ 5954 (0%)  2.171/ 1.892/ 5.899/ 0.141 ms  595 pps
9.00 Mbits/sec   0.108 ms    0/ 7655 (0%)  2.307/ 2.012/ 6.845/ 0.179 ms  765 pps
11.0 Mbits/sec   0.133 ms    0/ 9355 (0%)  2.371/ 2.065/ 7.011/ 0.155 ms  935 pps
7.00 Mbits/sec   0.257 ms    0/ 5954 (0%)  2.447/ 2.130/ 5.975/ 0.157 ms  595 pps
7.00 Mbits/sec   0.138 ms    0/ 5954 (0%)  2.490/ 2.250/ 5.442/ 0.133 ms  595 pps
8.00 Mbits/sec   0.245 ms    0/ 6804 (0%)  2.573/ 2.297/ 7.636/ 0.190 ms  680 pps
9.00 Mbits/sec   0.104 ms    0/ 7655 (0%)  2.705/ 2.343/ 7.600/ 0.297 ms  765 pps
9.00 Mbits/sec   0.175 ms    0/ 7655 (0%)  2.780/ 2.474/ 7.644/ 0.152 ms  765 pps
11.0 Mbits/sec   0.200 ms    0/ 9355 (0%)  2.875/ 2.552/ 8.678/ 0.202 ms  935 pps
9.00 Mbits/sec   0.143 ms    0/ 7655 (0%)  2.928/ 2.622/ 9.172/ 0.214 ms  765 pps
7.00 Mbits/sec   0.133 ms    0/ 5954 (0%)  2.954/ 2.678/ 5.483/ 0.135 ms  595 pps
8.00 Mbits/sec   0.144 ms    0/ 6804 (0%)  3.088/ 2.785/ 5.190/ 0.153 ms  680 pps
9.00 Mbits/sec   0.140 ms    0/ 7654 (0%)  3.134/ 2.847/ 9.416/ 0.174 ms  765 pps
9.00 Mbits/sec   0.134 ms    0/ 7655 (0%)  3.216/ 2.944/ 8.454/ 0.146 ms  765 pps
9.00 Mbits/sec   0.078 ms    0/ 7655 (0%)  3.307/ 3.023/ 5.171/ 0.135 ms  765 pps
8.00 Mbits/sec   0.161 ms    0/ 6804 (0%)  3.368/ 3.096/ 7.174/ 0.167 ms  680 pps
11.0 Mbits/sec   0.133 ms    0/ 9355 (0%)  3.436/ 3.154/ 9.713/ 0.230 ms  935 pps
10.0 Mbits/sec   0.098 ms    0/ 8505 (0%)  3.524/ 3.214/ 8.441/ 0.180 ms  850 pps
10.0 Mbits/sec   0.111 ms    0/ 8505 (0%)  3.555/ 3.274/ 8.293/ 0.179 ms  850 pps
9.00 Mbits/sec   0.073 ms    0/ 7655 (0%)  3.680/ 3.403/ 5.691/ 0.116 ms  765 pps
6.00 Mbits/sec   0.118 ms    0/ 5104 (0%)  3.743/ 3.485/ 9.637/ 0.228 ms  510 pps
11.0 Mbits/sec   0.368 ms    0/ 9355 (0%)  3.914/ 3.514/24.586/ 0.778 ms  935 pps
