    3/ 9355 (0.032%)  0.255/-0.105/ 5.659/ 0.236 
    0/ 8505 (0%)  0.198/-0.075/ 6.368/ 0.181 
    0/10205 (0%)  0.186/-0.106/ 8.799/ 0.226 
    0/10205 (0%)  0.198/-0.122/ 7.655/ 0.246 
    0/11906 (0%)  0.105/-0.145/ 2.352/ 0.119 
    0/ 7654 (0%)  0.134/-0.174/10.300/ 0.451 
    0/ 9355 (0%)  0.150/-0.153/ 8.084/ 0.289 
    0/ 7654 (0%)  0.224/-0.075/ 4.800/ 0.213 
    0/ 9355 (0%)  0.186/-0.071/ 5.762/ 0.159 
    0/ 9355 (0%)  0.272/-0.033/ 6.596/ 0.232 
    0/10205 (0%)  0.291/-0.037/ 6.485/ 0.224 
    0/11906 (0%)  0.325/ 0.013/ 7.567/ 0.281 
    0/ 9355 (0%)  0.393/ 0.065/15.845/ 0.594 
    0/ 6804 (0%)  0.372/ 0.086/ 7.123/ 0.235 
    0/ 4253 (0%)  0.406/ 0.107/ 8.101/ 0.282 
    0/ 6804 (0%)  0.442/ 0.154/ 7.818/ 0.265 
    0/ 6804 (0%)  0.416/ 0.139/ 7.144/ 0.203 
    0/ 7654 (0%)  0.444/ 0.179/ 5.745/ 0.179 
    0/10205 (0%)  0.530/ 0.218/ 7.041/ 0.217 
    0/ 5954 (0%)  0.568/ 0.284/ 4.557/ 0.134 
    0/ 6804 (0%)  0.571/ 0.290/ 8.153/ 0.259 
    0/ 6804 (0%)  0.604/ 0.298/ 3.629/ 0.141 
    0/ 5954 (0%)  0.627/ 0.357/ 5.984/ 0.189 
    0/ 6804 (0%)  0.644/ 0.353/ 5.245/ 0.159 
    0/ 8505 (0%)  0.720/ 0.382/10.690/ 0.498 
    0/ 6804 (0%)  0.747/ 0.441/ 5.747/ 0.205 
    0/ 8505 (0%)  0.739/ 0.446/ 8.162/ 0.226 
    0/11056 (0%)  0.739/ 0.454/ 4.017/ 0.131 
    0/ 6804 (0%)  0.807/ 0.488/ 6.746/ 0.213 
    0/ 5954 (0%)  0.832/ 0.522/ 5.086/ 0.194 
    0/ 8505 (0%)  0.867/ 0.556/11.708/ 0.372 
    0/ 9355 (0%)  0.860/ 0.581/ 4.823/ 0.169 
