3.80 Mbits/sec   0.120 ms    0/ 3403 (0%) -/-/-/- ms  322 pps
4.00 Mbits/sec   0.081 ms    0/ 3403 (0%) -/-/-/- ms  340 pps
7.00 Mbits/sec   0.136 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
6.00 Mbits/sec   0.118 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
7.00 Mbits/sec   0.127 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
6.00 Mbits/sec   0.136 ms    0/ 5103 (0%) -/-/-/- ms  510 pps
2.00 Mbits/sec   0.097 ms    0/ 1702 (0%) -/-/-/- ms  170 pps
8.00 Mbits/sec   0.078 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
5.00 Mbits/sec   0.136 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
5.00 Mbits/sec   0.108 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
6.00 Mbits/sec   0.278 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
7.00 Mbits/sec   0.797 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
8.00 Mbits/sec   0.258 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
7.00 Mbits/sec   0.133 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
8.00 Mbits/sec   0.118 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
3.00 Mbits/sec   0.140 ms    0/ 2553 (0%) -/-/-/- ms  255 pps
5.00 Mbits/sec   0.113 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
6.00 Mbits/sec   0.297 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
9.00 Mbits/sec   0.133 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
7.00 Mbits/sec   0.075 ms    0/ 5953 (0%) -/-/-/- ms  595 pps
8.00 Mbits/sec   0.101 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
5.00 Mbits/sec   0.122 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
8.00 Mbits/sec   0.118 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
6.00 Mbits/sec   0.284 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
8.00 Mbits/sec   0.112 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
4.00 Mbits/sec   0.260 ms    0/ 3403 (0%) -/-/-/- ms  340 pps
7.00 Mbits/sec   0.106 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
4.00 Mbits/sec   0.130 ms    0/ 3403 (0%) -/-/-/- ms  340 pps
6.00 Mbits/sec   0.071 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
5.00 Mbits/sec   0.166 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
11.0 Mbits/sec   0.140 ms    0/ 9355 (0%) -/-/-/- ms  935 pps
5.00 Mbits/sec   0.130 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
9.00 Mbits/sec   0.103 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
7.00 Mbits/sec   0.093 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
6.00 Mbits/sec   0.268 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
3.00 Mbits/sec   0.326 ms    0/ 2553 (0%) -/-/-/- ms  255 pps
7.00 Mbits/sec   0.098 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
13.0 Mbits/sec   0.109 ms    0/11056 (0%) -/-/-/- ms 1105 pps
6.00 Mbits/sec   0.191 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
8.00 Mbits/sec   0.130 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
6.00 Mbits/sec   0.108 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
8.00 Mbits/sec   0.205 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
6.00 Mbits/sec   0.157 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
9.00 Mbits/sec   0.124 ms    0/ 7654 (0%) -/-/-/- ms  765 pps
8.00 Mbits/sec   0.160 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
7.00 Mbits/sec   0.119 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
7.00 Mbits/sec   0.300 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
8.00 Mbits/sec   0.385 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
6.65 Mbits/sec   0.148 ms  302/ 5954 (5.1%) -/-/-/- ms  565 pps
10.0 Mbits/sec   0.121 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
8.00 Mbits/sec   0.106 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
6.00 Mbits/sec   0.112 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
6.00 Mbits/sec   0.145 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
7.00 Mbits/sec   0.103 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
6.00 Mbits/sec   0.077 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
4.00 Mbits/sec   0.257 ms    0/ 3403 (0%) -/-/-/- ms  340 pps
8.00 Mbits/sec   0.082 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
5.00 Mbits/sec   0.147 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
7.00 Mbits/sec   0.272 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
7.00 Mbits/sec   0.136 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
5.00 Mbits/sec   0.147 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
4.00 Mbits/sec   0.111 ms    0/ 3403 (0%) -/-/-/- ms  340 pps
4.00 Mbits/sec   0.119 ms    0/ 3403 (0%) -/-/-/- ms  340 pps
6.00 Mbits/sec   0.177 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
5.00 Mbits/sec   0.140 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
7.00 Mbits/sec   0.178 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
6.00 Mbits/sec   0.361 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
6.00 Mbits/sec   0.161 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
4.00 Mbits/sec   0.227 ms    0/ 3403 (0%) -/-/-/- ms  340 pps
9.00 Mbits/sec   0.104 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
5.00 Mbits/sec   0.130 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
7.00 Mbits/sec   0.088 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
6.00 Mbits/sec   0.117 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
7.00 Mbits/sec   0.082 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
4.00 Mbits/sec   0.092 ms    0/ 3403 (0%) -/-/-/- ms  340 pps
5.00 Mbits/sec   0.095 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
9.00 Mbits/sec   0.122 ms    0/ 7654 (0%) -/-/-/- ms  765 pps
9.00 Mbits/sec   0.102 ms    0/ 7654 (0%) -/-/-/- ms  765 pps
5.00 Mbits/sec   0.096 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
5.00 Mbits/sec   0.144 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
7.00 Mbits/sec   0.171 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
5.00 Mbits/sec   0.150 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
8.00 Mbits/sec   0.363 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
4.00 Mbits/sec   0.098 ms    0/ 3403 (0%) -/-/-/- ms  340 pps
7.00 Mbits/sec   0.280 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
7.00 Mbits/sec   0.103 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
4.00 Mbits/sec   0.154 ms    0/ 3403 (0%) -/-/-/- ms  340 pps
10.0 Mbits/sec   0.107 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
5.00 Mbits/sec   0.116 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
6.00 Mbits/sec   0.106 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
7.00 Mbits/sec   0.138 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
5.00 Mbits/sec   0.126 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
9.00 Mbits/sec   0.150 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
6.00 Mbits/sec   0.503 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
8.00 Mbits/sec   0.181 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
10.0 Mbits/sec   0.102 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
5.00 Mbits/sec   0.124 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
9.00 Mbits/sec   0.103 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
7.00 Mbits/sec   0.108 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
8.00 Mbits/sec   0.086 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
3.00 Mbits/sec   0.102 ms    0/ 2553 (0%) -/-/-/- ms  255 pps
3.00 Mbits/sec   0.095 ms    0/ 2553 (0%) -/-/-/- ms  255 pps
6.00 Mbits/sec   0.143 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
8.00 Mbits/sec   0.097 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
6.00 Mbits/sec   0.100 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
6.00 Mbits/sec   0.237 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
8.00 Mbits/sec   0.113 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
5.00 Mbits/sec   0.118 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
5.00 Mbits/sec   0.155 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
4.00 Mbits/sec   0.074 ms    0/ 3403 (0%) -/-/-/- ms  340 pps
5.00 Mbits/sec   0.150 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
6.00 Mbits/sec   0.094 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
5.00 Mbits/sec   0.139 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
7.00 Mbits/sec   0.118 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
8.00 Mbits/sec   0.741 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
3.00 Mbits/sec   0.232 ms    0/ 2553 (0%) -/-/-/- ms  255 pps
8.00 Mbits/sec   0.143 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
4.00 Mbits/sec   0.291 ms    0/ 3403 (0%) -/-/-/- ms  340 pps
8.00 Mbits/sec   0.111 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
6.00 Mbits/sec   0.127 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
9.00 Mbits/sec   0.165 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
8.00 Mbits/sec   0.314 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
7.00 Mbits/sec   0.152 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
9.00 Mbits/sec   0.218 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
8.00 Mbits/sec   0.168 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
8.00 Mbits/sec   0.090 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
6.64 Mbits/sec   0.313 ms  306/ 5954 (5.1%) -/-/-/- ms  564 pps
5.00 Mbits/sec   0.125 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
8.00 Mbits/sec   0.092 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
8.00 Mbits/sec   0.280 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
9.00 Mbits/sec   0.152 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
5.00 Mbits/sec   0.350 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
3.00 Mbits/sec   0.154 ms    0/ 2553 (0%) -/-/-/- ms  255 pps
3.00 Mbits/sec   0.112 ms    0/ 2553 (0%) -/-/-/- ms  255 pps
6.00 Mbits/sec   0.078 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
3.00 Mbits/sec   0.135 ms    0/ 2553 (0%) -/-/-/- ms  255 pps
6.00 Mbits/sec   0.085 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
9.00 Mbits/sec   0.146 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
6.00 Mbits/sec   0.152 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
5.00 Mbits/sec   0.133 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
5.00 Mbits/sec   0.177 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
5.00 Mbits/sec   0.106 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
10.0 Mbits/sec   0.117 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
8.00 Mbits/sec   0.109 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
4.00 Mbits/sec   0.118 ms    0/ 3403 (0%) -/-/-/- ms  340 pps
7.00 Mbits/sec   0.105 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
7.00 Mbits/sec   0.185 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
5.00 Mbits/sec   0.101 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
5.00 Mbits/sec   0.241 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
2.00 Mbits/sec   0.157 ms    0/ 1702 (0%) -/-/-/- ms  170 pps
6.00 Mbits/sec   0.130 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
7.00 Mbits/sec   0.111 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
9.00 Mbits/sec   0.141 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
8.00 Mbits/sec   0.120 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
8.00 Mbits/sec   0.125 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
8.00 Mbits/sec   0.074 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
7.00 Mbits/sec   0.104 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
5.00 Mbits/sec   0.128 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
5.00 Mbits/sec   0.142 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
4.00 Mbits/sec   0.118 ms    0/ 3403 (0%) -/-/-/- ms  340 pps
10.0 Mbits/sec   0.092 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
8.00 Mbits/sec   0.130 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
12.0 Mbits/sec   0.113 ms    0/10206 (0%) -/-/-/- ms 1020 pps
4.00 Mbits/sec   0.113 ms    0/ 3403 (0%) -/-/-/- ms  340 pps
3.00 Mbits/sec   0.183 ms    0/ 2553 (0%) -/-/-/- ms  255 pps
5.00 Mbits/sec   0.148 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
8.00 Mbits/sec   0.279 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
7.00 Mbits/sec   0.121 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
9.00 Mbits/sec   0.083 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
9.00 Mbits/sec   0.133 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
6.00 Mbits/sec   0.174 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
8.00 Mbits/sec   0.122 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
3.00 Mbits/sec   0.103 ms    0/ 2552 (0%) -/-/-/- ms  255 pps
6.00 Mbits/sec   0.117 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
10.0 Mbits/sec   0.101 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
7.00 Mbits/sec   0.072 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
4.00 Mbits/sec   0.093 ms    0/ 3403 (0%) -/-/-/- ms  340 pps
9.00 Mbits/sec   0.089 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
5.00 Mbits/sec   0.060 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
7.00 Mbits/sec   0.052 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
