    0/ 2553 (0%) -553.559/-553.978/-553.053/10.963 
    0/ 6804 (0%) -552.453/-552.877/-551.814/ 6.703 
    0/ 5104 (0%) -551.355/-551.765/-550.190/ 7.724 
    0/ 8505 (0%) -550.361/-550.828/-547.873/ 5.973 
    2/ 6804 (0.029%) -549.358/-549.845/-548.359/ 6.667 
    0/ 5103 (0%) -548.342/-548.811/-547.699/ 7.682 
    0/ 6804 (0%) -546.801/-547.228/-545.773/ 6.635 
    0/ 9355 (0%) -545.797/-546.237/-544.441/ 5.650 
    0/ 8505 (0%) -544.718/-545.200/-542.442/ 5.913 
    0/ 6804 (0%) -543.686/-544.136/-542.400/ 6.598 
    0/ 7655 (0%) -542.668/-543.120/-541.136/ 6.208 
    0/ 6804 (0%) -541.669/-542.140/-540.432/ 6.572 
    0/ 2553 (0%) -540.165/-540.607/-539.618/10.700 
    0/ 1702 (0%) -539.133/-539.529/-538.604/13.081 
    0/ 5104 (0%) -538.086/-538.549/-537.246/ 7.539 
    0/ 5104 (0%) -537.108/-537.524/-535.779/ 7.524 
    0/ 9355 (0%) -536.042/-536.502/-533.358/ 5.546 
    0/ 5104 (0%) -535.027/-535.499/-533.485/ 7.495 
    0/ 6804 (0%) -533.485/-533.942/-532.622/ 6.474 
    0/ 7655 (0%) -532.512/-532.968/-531.542/ 6.092 
    0/ 6804 (0%) -531.475/-531.938/-530.471/ 6.450 
    0/10206 (0%) -530.396/-530.855/-525.768/ 5.256 
    0/10206 (0%) -529.367/-529.795/-526.046/ 5.246 
    0/ 6804 (0%) -528.366/-528.834/-527.076/ 6.411 
    0/ 5954 (0%) -526.784/-527.237/-525.102/ 6.831 
    0/ 6804 (0%) -525.739/-526.165/-523.581/ 6.379 
    0/ 6804 (0%) -524.734/-525.158/-523.496/ 6.368 
    0/ 6804 (0%) -523.648/-524.077/-521.413/ 6.354 
    0/ 4253 (0%) -522.648/-523.085/-521.488/ 8.019 
    0/ 5104 (0%) -521.603/-522.023/-520.732/ 7.307 
    0/ 6804 (0%) -520.128/-520.538/-519.504/ 6.310 
    0/ 6804 (0%) -519.075/-519.522/-517.877/ 6.299 
    0/ 5104 (0%) -518.072/-518.465/-516.694/ 7.258 
    0/ 6804 (0%) -517.072/-517.484/-514.951/ 6.275 
    0/ 6804 (0%) -516.061/-516.509/-513.904/ 6.265 
    0/ 6804 (0%) -515.035/-515.469/-512.803/ 6.249 
    0/ 5954 (0%) -513.472/-513.928/-511.881/ 6.659 
