    0/10206 (0%) -553.549/-554.005/-552.094/ 5.486 
    0/ 3403 (0%) -552.445/-552.885/-551.802/ 9.477 
    0/ 8505 (0%) -551.364/-551.829/-549.711/ 5.984 
    0/ 5954 (0%) -550.370/-550.844/-549.655/ 7.139 
    0/ 7655 (0%) -549.356/-549.810/-547.231/ 6.284 
    0/ 3403 (0%) -548.283/-548.764/-546.795/ 9.406 
    0/ 4253 (0%) -546.827/-547.260/-545.978/ 8.392 
    0/ 7655 (0%) -545.760/-546.228/-543.206/ 6.243 
    0/ 8505 (0%) -544.765/-545.190/-543.673/ 5.913 
    0/ 5104 (0%) -543.728/-544.156/-542.897/ 7.615 
    0/ 8505 (0%) -542.698/-543.139/-541.050/ 5.889 
    0/ 9355 (0%) -541.687/-542.135/-540.009/ 5.607 
    0/ 7655 (0%) -540.089/-540.557/-538.078/ 6.179 
    0/ 5104 (0%) -539.136/-539.568/-538.487/ 7.552 
    0/ 3403 (0%) -538.015/-538.516/-537.547/ 9.230 
    0/ 5104 (0%) -537.037/-537.510/-535.554/ 7.524 
    0/ 9355 (0%) -535.968/-536.469/-532.933/ 5.546 
    0/ 5954 (0%) -534.922/-535.385/-532.560/ 6.939 
    0/ 5954 (0%) -533.384/-533.795/-531.707/ 6.916 
    0/ 6804 (0%) -532.412/-532.855/-529.771/ 6.460 
    0/ 7655 (0%) -531.364/-531.821/-529.796/ 6.079 
    0/ 8505 (0%) -530.266/-530.728/-526.858/ 5.753 
    0/ 6804 (0%) -529.263/-529.702/-527.438/ 6.421 
    0/ 5954 (0%) -528.241/-528.696/-527.361/ 6.850 
    1/ 5953 (0.017%) -526.706/-527.147/-525.903/ 6.834 
    0/ 7655 (0%) -525.719/-526.174/-524.367/ 6.014 
    0/ 1702 (0%) -524.740/-525.131/-524.293/12.729 
    0/ 7655 (0%) -523.745/-524.186/-522.356/ 5.991 
    0/ 5104 (0%) -522.668/-523.074/-521.589/ 7.322 
    0/ 4253 (0%) -521.633/-522.060/-520.669/ 8.005 
    0/ 5103 (0%) -520.131/-520.564/-519.077/ 7.288 
    0/ 6804 (0%) -519.152/-519.611/-517.821/ 6.300 
    0/ 5954 (0%) -518.135/-518.545/-515.407/ 6.719 
    0/ 5104 (0%) -517.051/-517.480/-515.979/ 7.240 
    2/ 5954 (0.034%) -516.060/-516.467/-514.392/ 6.693 
    0/ 7655 (0%) -514.965/-515.436/-512.388/ 5.892 
    0/ 5954 (0%) -513.464/-513.836/-511.797/ 6.658 
    0/ 6804 (0%) -512.422/-512.819/-509.692/ 6.219 
    0/ 5104 (0%) -511.412/-511.817/-510.274/ 7.164 
    0/ 8505 (0%) -510.340/-510.793/-508.214/ 5.540 
    0/ 5954 (0%) -509.311/-509.737/-508.741/ 6.605 
    0/ 7655 (0%) -508.264/-508.722/-506.010/ 5.815 
    0/ 7655 (0%) -506.760/-507.219/-504.973/ 5.796 
    0/ 9355 (0%) -505.702/-506.135/-503.784/ 5.234 
    0/ 5954 (0%) -504.673/-505.118/-502.103/ 6.545 
    0/ 5104 (0%) -503.614/-504.020/-502.731/ 7.058 
    0/ 1702 (0%) -502.527/-502.969/-501.015/12.195 
    0/ 5104 (0%) -501.528/-501.960/-500.866/ 7.025 
    0/ 9355 (0%) -500.016/-500.458/-498.089/ 5.175 
    0/ 9355 (0%) -498.998/-499.451/-497.325/ 5.164 
    0/ 3403 (0%) -497.981/-498.421/-497.461/ 8.542 
    0/ 5104 (0%) -496.921/-497.363/-495.221/ 6.962 
    0/ 6804 (0%) -495.901/-496.287/-493.348/ 6.019 
    0/ 5104 (0%) -494.931/-495.348/-493.138/ 6.933 
    0/ 2553 (0%) -493.372/-493.735/-491.793/ 9.772 
    0/ 7655 (0%) -492.320/-492.742/-490.861/ 5.631 
    0/ 7655 (0%) -491.282/-491.730/-490.384/ 5.619 
    0/ 4253 (0%) -490.334/-490.718/-489.874/ 7.525 
    0/ 5954 (0%) -489.239/-489.675/-487.544/ 6.346 
    0/ 5104 (0%) -488.234/-488.678/-486.202/ 6.840 
    0/ 7655 (0%) -486.653/-487.098/-484.974/ 5.568 
    0/ 3403 (0%) -485.661/-486.052/-484.326/ 8.330 
    0/ 7655 (0%) -484.616/-485.047/-482.168/ 5.544 
    0/ 5954 (0%) -483.565/-484.015/-481.965/ 6.273 
    0/ 6804 (0%) -482.514/-482.969/-481.633/ 5.854 
    0/ 4253 (0%) -481.510/-481.939/-480.739/ 7.391 
    0/ 6804 (0%) -480.011/-480.455/-477.794/ 5.825 
    0/ 5954 (0%) -479.000/-479.458/-478.498/ 6.214 
    0/ 8505 (0%) -478.038/-478.471/-476.248/ 5.189 
    0/ 5104 (0%) -477.012/-477.434/-475.631/ 6.685 
    0/ 7655 (0%) -475.967/-476.419/-473.746/ 5.447 
    0/ 4253 (0%) -474.964/-475.386/-473.164/ 7.290 
    0/ 6804 (0%) -473.407/-473.865/-471.306/ 5.744 
    0/ 8505 (0%) -472.427/-472.896/-468.734/ 5.129 
    0/ 2553 (0%) -471.387/-471.786/-470.604/ 9.341 
    0/ 7655 (0%) -470.359/-470.781/-468.335/ 5.381 
    0/ 5104 (0%) -469.356/-469.788/-467.266/ 6.575 
    0/ 9355 (0%) -468.258/-468.688/-465.797/ 4.847 
    0/ 7655 (0%) -466.706/-467.156/-464.025/ 5.341 
    0/ 5954 (0%) -465.688/-466.149/-462.313/ 6.041 
    0/ 6804 (0%) -464.701/-465.106/-462.608/ 5.640 
    0/ 7655 (0%) -463.626/-464.061/-460.555/ 5.306 
    0/ 7655 (0%) -462.565/-462.994/-460.943/ 5.292 
    0/ 7655 (0%) -461.531/-461.947/-460.285/ 5.281 
    0/ 7655 (0%) -459.982/-460.414/-458.015/ 5.263 
    0/ 5954 (0%) -458.917/-459.346/-457.102/ 5.954 
    0/ 9355 (0%) -457.913/-458.355/-450.758/ 4.741 
    0/ 4253 (0%) -456.893/-457.289/-455.199/ 7.012 
    0/ 7655 (0%) -455.888/-456.305/-453.580/ 5.215 
    0/ 8505 (0%) -454.864/-455.325/-452.370/ 4.937 
    0/ 5954 (0%) -453.351/-453.792/-452.305/ 5.880 
