6.89 Mbits/sec   8.866 ms    0/ 5938 (0%) 66.485/14.462/207.097/50.480 ms  586 pps
8.58 Mbits/sec   5.695 ms    0/ 7364 (0%) 72.734/14.457/177.544/36.467 ms  729 pps
7.44 Mbits/sec   6.316 ms    0/ 6404 (0%) 80.061/14.407/210.329/46.420 ms  632 pps
8.11 Mbits/sec   7.638 ms    0/ 6975 (0%) 65.725/14.336/192.654/46.968 ms  689 pps
8.94 Mbits/sec   6.737 ms    0/ 7680 (0%) 57.829/14.312/183.139/42.363 ms  759 pps
7.94 Mbits/sec   0.768 ms    0/ 6804 (0%) 27.215/14.270/119.749/26.885 ms  675 pps
6.99 Mbits/sec   1.532 ms    0/ 5954 (0%) 50.541/14.299/125.455/36.839 ms  594 pps
10.0 Mbits/sec   0.122 ms    0/ 8505 (0%) 32.998/14.177/172.157/27.441 ms  850 pps
8.00 Mbits/sec   0.083 ms    0/ 6804 (0%) 30.694/14.159/122.311/30.243 ms  680 pps
12.0 Mbits/sec   0.253 ms    0/10205 (0%) 36.391/14.129/178.689/29.204 ms 1019 pps
11.6 Mbits/sec   2.928 ms    0/ 9924 (0%) 37.090/14.074/179.093/32.054 ms  985 pps
13.0 Mbits/sec   0.237 ms    0/11056 (0%) 18.911/14.026/34.401/ 6.124 ms 1104 pps
6.99 Mbits/sec   0.207 ms    0/ 5954 (0%) 17.002/13.978/27.750/ 5.232 ms  594 pps
9.99 Mbits/sec   0.107 ms    0/ 8505 (0%) 16.773/13.949/27.760/ 5.080 ms  849 pps
6.99 Mbits/sec   0.263 ms    0/ 5954 (0%) 16.899/13.921/27.718/ 5.136 ms  594 pps
9.00 Mbits/sec   0.178 ms    0/ 7654 (0%) 14.154/13.885/23.436/ 0.321 ms  765 pps
7.99 Mbits/sec   0.145 ms    0/ 6804 (0%) 14.703/13.848/27.589/ 2.610 ms  679 pps
9.00 Mbits/sec   0.116 ms    0/ 7654 (0%) 14.014/13.819/16.981/ 0.207 ms  765 pps
11.0 Mbits/sec   0.238 ms    0/ 9355 (0%) 14.008/13.770/20.480/ 0.238 ms  935 pps
10.0 Mbits/sec   0.117 ms    0/ 8505 (0%) 14.016/13.752/21.668/ 0.349 ms  850 pps
8.01 Mbits/sec   0.087 ms    0/ 6804 (0%) 14.838/13.715/28.618/ 3.242 ms  681 pps
7.01 Mbits/sec   0.102 ms    0/ 5954 (0%) 15.717/13.679/28.175/ 4.501 ms  596 pps
9.01 Mbits/sec   0.107 ms    0/ 7654 (0%) 18.203/13.651/30.742/ 6.027 ms  766 pps
9.01 Mbits/sec   0.104 ms    0/ 7654 (0%) 18.924/13.657/31.806/ 6.234 ms  766 pps
8.00 Mbits/sec   0.065 ms    0/ 6804 (0%) 13.842/13.589/19.607/ 0.300 ms  680 pps
12.0 Mbits/sec   0.067 ms    0/10205 (0%) 19.816/13.550/60.542/10.296 ms 1021 pps
8.01 Mbits/sec   0.081 ms    0/ 6804 (0%) 16.947/13.564/27.743/ 5.447 ms  681 pps
