9.34 Mbits/sec   0.973 ms    0/ 7980 (0%) 48.644/-3.694/188.085/32.103 ms  794 pps
10.0 Mbits/sec   0.106 ms    0/ 8505 (0%) -3.546/-3.853/ 0.568/ 0.161 ms  850 pps
10.0 Mbits/sec   0.137 ms    0/ 8505 (0%) -3.632/-3.951/-0.647/ 0.158 ms  850 pps
9.00 Mbits/sec   0.148 ms    0/ 7655 (0%) -3.692/-4.031/-0.124/ 0.158 ms  765 pps
6.00 Mbits/sec   0.160 ms    0/ 5104 (0%) -3.774/-4.123/ 2.432/ 0.208 ms  510 pps
10.0 Mbits/sec   0.111 ms    0/ 8505 (0%) -3.874/-4.211/ 2.850/ 0.219 ms  850 pps
8.00 Mbits/sec   0.111 ms    0/ 6804 (0%) -4.011/-4.347/ 0.764/ 0.236 ms  680 pps
6.00 Mbits/sec   0.145 ms    0/ 5104 (0%) -4.093/-4.414/ 4.374/ 0.265 ms  510 pps
8.00 Mbits/sec   0.122 ms    0/ 6804 (0%) -4.215/-4.550/ 2.334/ 0.222 ms  680 pps
13.0 Mbits/sec   0.158 ms    0/11056 (0%) -4.277/-4.612/ 9.054/ 0.458 ms 1105 pps
9.00 Mbits/sec   0.092 ms    0/ 7654 (0%) -4.341/-4.722/ 1.007/ 0.173 ms  765 pps
8.00 Mbits/sec   0.097 ms    0/ 6804 (0%) -4.494/-4.813/ 3.042/ 0.222 ms  680 pps
6.00 Mbits/sec   0.113 ms    0/ 5104 (0%) -4.626/-4.968/10.935/ 0.473 ms  510 pps
7.00 Mbits/sec   0.151 ms    0/ 5954 (0%) -4.626/-4.990/ 0.438/ 0.249 ms  595 pps
15.0 Mbits/sec   0.073 ms    0/12757 (0%) -4.849/-5.155/-0.591/ 0.150 ms 1275 pps
8.00 Mbits/sec   0.119 ms    0/ 6804 (0%) -4.843/-5.199/-2.224/ 0.175 ms  680 pps
7.00 Mbits/sec   0.127 ms    0/ 5954 (0%) -4.969/-5.301/-1.697/ 0.189 ms  595 pps
10.0 Mbits/sec   0.105 ms    0/ 8505 (0%) -5.021/-5.409/ 0.262/ 0.357 ms  850 pps
11.0 Mbits/sec   0.127 ms    0/ 9355 (0%) -5.215/-5.537/ 1.020/ 0.289 ms  935 pps
7.00 Mbits/sec   0.155 ms    0/ 5954 (0%) -5.347/-5.640/-1.979/ 0.149 ms  595 pps
12.0 Mbits/sec   0.094 ms    0/10206 (0%) -5.364/-5.721/ 3.159/ 0.295 ms 1020 pps
7.00 Mbits/sec   0.121 ms    0/ 5954 (0%) -5.463/-5.773/-1.555/ 0.164 ms  595 pps
5.00 Mbits/sec   0.210 ms    0/ 4253 (0%) -5.474/-5.802/-0.452/ 0.236 ms  425 pps
11.0 Mbits/sec   0.143 ms    0/ 9355 (0%) -5.538/-5.863/-2.695/ 0.148 ms  935 pps
7.00 Mbits/sec   0.128 ms    0/ 5954 (0%) -5.554/-5.908/ 3.828/ 0.377 ms  595 pps
9.00 Mbits/sec   0.108 ms    0/ 7655 (0%) -5.695/-5.989/-2.860/ 0.143 ms  765 pps
10.0 Mbits/sec   0.114 ms    0/ 8505 (0%) -5.708/-6.028/-0.630/ 0.196 ms  850 pps
8.00 Mbits/sec   0.119 ms    0/ 6804 (0%) -5.779/-6.071/-2.469/ 0.164 ms  680 pps
11.0 Mbits/sec   0.121 ms    0/ 9355 (0%) -5.810/-6.118/-2.217/ 0.171 ms  935 pps
12.0 Mbits/sec   0.124 ms    0/10205 (0%) -5.836/-6.176/ 0.441/ 0.247 ms 1020 pps
8.00 Mbits/sec   0.097 ms    0/ 6804 (0%) -5.942/-6.219/ 9.345/ 0.585 ms  680 pps
10.0 Mbits/sec   0.096 ms    0/ 8505 (0%) -5.971/-6.312/-0.843/ 0.176 ms  850 pps
6.00 Mbits/sec   0.149 ms    0/ 5104 (0%) -5.965/-6.318/-1.017/ 0.207 ms  510 pps
6.00 Mbits/sec   0.106 ms    0/ 5103 (0%) -6.066/-6.389/ 0.140/ 0.228 ms  510 pps
11.0 Mbits/sec   0.135 ms    0/ 9355 (0%) -6.136/-6.444/ 0.738/ 0.183 ms  935 pps
8.00 Mbits/sec   0.118 ms    0/ 6804 (0%) -6.164/-6.471/-3.734/ 0.179 ms  680 pps
8.00 Mbits/sec   0.142 ms    0/ 6804 (0%) -6.213/-6.542/-1.795/ 0.167 ms  680 pps
6.00 Mbits/sec   0.141 ms    0/ 5103 (0%) -6.302/-6.593/-1.487/ 0.160 ms  510 pps
9.00 Mbits/sec   0.144 ms    0/ 7655 (0%) -6.298/-6.647/-3.206/ 0.207 ms  765 pps
11.0 Mbits/sec   0.180 ms    0/ 9355 (0%) -6.397/-6.696/-0.969/ 0.174 ms  935 pps
7.00 Mbits/sec   0.132 ms    0/ 5954 (0%) -6.421/-6.744/-1.326/ 0.178 ms  595 pps
7.00 Mbits/sec   0.107 ms    0/ 5954 (0%) -6.500/-6.760/-3.407/ 0.149 ms  595 pps
8.00 Mbits/sec   0.125 ms    0/ 6804 (0%) -6.521/-6.853/ 0.406/ 0.380 ms  680 pps
9.00 Mbits/sec   0.103 ms    0/ 7655 (0%) -6.652/-6.935/-2.327/ 0.208 ms  765 pps
9.00 Mbits/sec   0.108 ms    0/ 7654 (0%) -6.671/-6.960/-1.568/ 0.180 ms  765 pps
14.0 Mbits/sec   0.133 ms    0/11906 (0%) -6.725/-7.018/-2.391/ 0.154 ms 1190 pps
8.00 Mbits/sec   0.109 ms    0/ 6804 (0%) -6.741/-7.069/-0.656/ 0.244 ms  680 pps
8.00 Mbits/sec   0.141 ms    0/ 6804 (0%) -6.785/-7.136/-4.454/ 0.172 ms  680 pps
9.00 Mbits/sec   0.217 ms    0/ 7655 (0%) -6.870/-7.192/ 6.403/ 0.505 ms  765 pps
5.00 Mbits/sec   0.069 ms    0/ 4253 (0%) -6.918/-7.232/-4.193/ 0.201 ms  425 pps
6.00 Mbits/sec   0.078 ms    0/ 5104 (0%) -7.007/-7.271/ 3.412/ 0.302 ms  510 pps
6.00 Mbits/sec   0.078 ms    0/ 5103 (0%) -7.011/-7.331/-3.127/ 0.212 ms  510 pps
7.00 Mbits/sec   0.065 ms    0/ 5954 (0%) -7.000/-7.356/-3.134/ 0.232 ms  595 pps
8.00 Mbits/sec   0.126 ms    0/ 6804 (0%) -7.109/-7.419/-3.568/ 0.182 ms  680 pps
7.00 Mbits/sec   0.150 ms    0/ 5954 (0%) -7.178/-7.472/-1.785/ 0.205 ms  595 pps
6.00 Mbits/sec   0.087 ms    0/ 5104 (0%) -7.184/-7.528/-3.513/ 0.200 ms  510 pps
10.0 Mbits/sec   0.160 ms    0/ 8505 (0%) -7.252/-7.578/-5.061/ 0.179 ms  850 pps
7.00 Mbits/sec   0.190 ms    0/ 5954 (0%) -7.296/-7.605/-4.720/ 0.172 ms  595 pps
9.00 Mbits/sec   0.158 ms    0/ 7655 (0%) -7.367/-7.660/-3.524/ 0.183 ms  765 pps
11.0 Mbits/sec   0.136 ms    0/ 9355 (0%) -7.388/-7.716/-2.176/ 0.195 ms  935 pps
8.00 Mbits/sec   0.086 ms    0/ 6804 (0%) -7.471/-7.791/ 1.304/ 0.338 ms  680 pps
5.00 Mbits/sec   0.107 ms    0/ 4253 (0%) -7.450/-7.821/-0.283/ 0.336 ms  425 pps
11.0 Mbits/sec   0.111 ms    0/ 9355 (0%) -7.568/-7.874/ 2.496/ 0.283 ms  935 pps
11.0 Mbits/sec   0.106 ms    0/ 9355 (0%) -7.634/-7.935/-5.533/ 0.152 ms  935 pps
3.00 Mbits/sec   0.130 ms    0/ 2553 (0%) -7.635/-7.958/-4.081/ 0.216 ms  255 pps
9.00 Mbits/sec   0.121 ms    0/ 7654 (0%) -7.715/-8.030/-3.962/ 0.189 ms  765 pps
10.0 Mbits/sec   0.096 ms    0/ 8505 (0%) -7.790/-8.087/ 3.399/ 0.323 ms  850 pps
6.00 Mbits/sec   0.087 ms    0/ 5104 (0%) -7.809/-8.098/-3.638/ 0.180 ms  510 pps
10.0 Mbits/sec   0.342 ms    0/ 8505 (0%) -7.885/-8.194/-1.513/ 0.287 ms  850 pps
6.00 Mbits/sec   0.148 ms    0/ 5103 (0%) -7.963/-8.227/-3.544/ 0.200 ms  510 pps
9.00 Mbits/sec   0.124 ms    0/ 7655 (0%) -7.937/-8.257/-3.441/ 0.206 ms  765 pps
